Abraham	Abrahám
Abrahám	Abraham
Andrej	Andrejs
Andrejs	Andrej
Brunej	brunet
Březa	bříza
Dan	Dán
David	Davidov
Davidov	David
Dolina	dolinář
Dán	Dan
Gal	Gál
Gál	Gal
Hana	Haná
Haná	Hana
Hejnice	hejno
Hispanie	Hispánie
Hispánie	Hispanie
Horka	horký
Hověz	hovězí
Jan	Ján
Ján	Jan
Kladno	kladný
Konstantin	konstanta
Kopač	Kopáč
Kopernik	Koperník
Koperník	Kopernik
Kopáč	Kopač
Kovač	Kováč
Kováč	Kovač
Koč	kočí
Krč	krk
Kuchar	Kuchár
Kuchyňa	kuchyně
Kuchár	Kuchar
Křiva	křivý,Křivák
Křivák	Křiva
Kůst	kost
Libye	Libý,libý
Libý	Libye
Lombardie	lombard
Magdalena	Magdaléna
Magdaléna	Magdalena
Malát	malátný
Marten	Martín
Martin	Martinov,Martín
Martinov	Martin
Martín	Marten,Martin
Míla	míle
Nor	nora
Oborný	Zborný
Pan	pán
Polena	poleno
Rojka	roj
Roman	Román,román,Romanov
Romanov	Roman
Román	Roman
Slepička	slepičář
Soliman	Solimán
Solimán	Soliman
Stalin	Stalinov
Stalinov	Stalin
Stone	stonek
Svatý	svat
Tate	tát,táta
Telč	tele
Titán	titan
Tutu	tutový
Tyl	týl
Valentin	Valentina
Valentina	Valentin
Vaník	Vaněk
Vaněk	Vaník
Vrana	vrána,Vraný
Vraný	Vrana
Zborný	Oborný
Zmij	zmije
amalgam	amalgám
amalgám	amalgam
amortisovat	zamortisovat
analysovat	zanalysovat
bafunář	bafuňář
bafuňář	bafunář
brunet	Brunej
bán	báň
báň	bán
bříza	Březa
chan	chán
chán	chan
citrus	citrusář
citrusář	citrus
cvočkař	cvočkář
cvočkář	cvočkař
debrujár	debrujář
debrujář	debrujár
demokratisovat	zdemokratisovat
demoralisovat	zdemoralisovat
diferenciovat	diferencovat
diferencovat	diferenciovat
diversifikovat	zdiversifikovat
dochutit	ochutit
doinicialisovat	inicialisovat
dolinář	Dolina
dosignalisovat	signalisovat
dostabilisovat	stabilisovat
dostrukturalisovat	strukturalisovat
dosychat	osychat
dosystematisovat	systematisovat
dosystemisovat	systemisovat
dovitaminisovat	ovitaminisovat
dít	dítě
dítě	dít
fajfkař	fajfkář
fajfkář	fajfkař
flitrovat	oflitrovat
harmonisovat	zharmonisovat
hejno	Hejnice
hendikepovat	hendikepový
hendikepový	hendikepovat
historisovat	zhistorisovat
hlouček	hloučit
hloučit	hlouček
horký	Horka
horolezec	horolezení
horolezení	horolezec
hovězí	Hověz
inicialisovat	nainicialisovat,doinicialisovat
kabonit	kabonět
kabonět	kabonit
kampan	kampaň
kampaň	kampan
kapuca	kapuce
kapuce	kapuca
karbonát	karbonář
karbonář	karbonát
kat	kát
katalogisovat	zakatalogisovat
kladný	Kladno
klát	klátit
klátit	klát
kondensovat	zkondensovat
konkretisovat	zkonkretisovat
konservovat	zakonservovat
konstanta	Konstantin
kosmopolita	kosmopolitický
kosmopolitický	kosmopolita
kost	Kůst
kočí	Koč
košt	koště
koště	košt
krk	Krč
kuchyně	Kuchyňa
kát	kat
křapat	křápat
křivý	Křiva
křápat	křapat
lev	levý
levý	lev
libý	Libye
lombard	Lombardie
lít	lítý
líto	lítý
lítý	lít,líto
malátný	Malát
mandl	mandle
mandle	mandl
mast	mást
mechanisovat	zmechanisovat
medicina	medicína
medicína	medicina
mást	mast
míle	Míla
nainicialisovat	inicialisovat
nastabilisovat	stabilisovat
nastrukturalisovat	strukturalisovat
nastříhnout	stříhnout
nasystematisovat	systematisovat
nora	Nor
ochutit	dochutit
odpínat	podpínat
oflitrovat	flitrovat
omobilisovat	umobilisovat,promobilisovat
oploštit	zploštit
oploštět	zploštět
opláchnout	pláchnout
optimalisovat	zoptimalisovat
opřádat	zapřádat,upřádat
osychat	dosychat
ovitaminisovat	dovitaminisovat
očurat	čurat
paleničář	páleničář
pan	pán
pestřit	zpestřit
plakat	plakát
plakát	plakat
pláchnout	vypláchnout,opláchnout,propláchnout
plát	plátno
plát	plátno
plátno	plát,plát
podpínat	odpínat
poleno	Polena
pravovárečný	právovárečný
premiér	premiéra
premiéra	premiér
produchovnit	produchovnět
produchovnět	produchovnit
progres	progrese
progrese	progres
promobilisovat	omobilisovat
propláchnout	pláchnout
právovárečný	pravovárečný
prýmka	prýmkář
prýmkář	prýmka
punk	punč
punč	punk
páleničář	paleničář
pán	pan,Pan
párkař	párkář
párkář	párkař
páter	páteř
páteř	páter
píka	píča
pít	pět
píča	píka
pět	pít
přeorganisovat	reorganisovat
přistabilisovat	stabilisovat
reorganisovat	zreorganisovat,přeorganisovat
reální	reálný
reálný	reální
roj	Rojka
román	Roman
rozcensurovat	zcensurovat
rozgeneralisovat	zgeneralisovat
rozjařit	zjařit
rozmobilisovat	zmobilisovat
rozradostnět	zradostnět
rozresonovat	zresonovat
roztrpčit	ztrpčit
sardinka	sardinkář
sardinkář	sardinka
sebeparodie	sebeparodizovat
sebeparodizovat	sebeparodie
senzitiv	senzitivní
senzitivní	senzitiv
signalisovat	dosignalisovat
slepičář	Slepička
sloupkař	sloupkář
sloupkář	sloupkař
spor	spora
spora	spor
stabilisovat	dostabilisovat,nastabilisovat,přistabilisovat
standardisovat	zestandardisovat
stonek	Stone
strukturalisovat	dostrukturalisovat,nastrukturalisovat
stříhnout	ustříhnout,nastříhnout
svat	Svatý,svatý
svatý	svat
svědit	svědět
svědět	svědit
symbolisovat	zesymbolisovat
sympatisovat	zesympatisovat
systematisovat	nasystematisovat,dosystematisovat
systemisovat	dosystemisovat
tele	Telč
titan	Titán
turner	turnér
turnér	turner
tutový	Tutu
tvářet	tvářit
tvářit	tvářet
tát	Tate,táta
táta	Tate,tát
týl	Tyl
umobilisovat	omobilisovat
upřádat	opřádat
ustříhnout	stříhnout
uživotnit	zživotnit
varhanit	varhanět
varhanět	varhanit
vraštit	vráštit
vrána	Vrana
vráštit	vraštit
vydlažit	vydlážit
vydlážit	vydlažit
vypláchnout	pláchnout
vzdušnice	vzdušnit
vzdušnit	vzdušnice
vzorkař	vzorkář
vzorkář	vzorkař
zabsolutnit	zabsolutnět
zabsolutnět	zabsolutnit
zabstraktnit	zabstraktnět
zabstraktnět	zabstraktnit
zakademičtit	zakademičtět
zakademičtět	zakademičtit
zakatalogisovat	katalogisovat
zakonservovat	konservovat
zamortisovat	amortisovat
zanalysovat	analysovat
zapřádat	opřádat
zbanálnit	zbanálnět
zbanálnět	zbanálnit
zbídnit	zbídnět
zbídnět	zbídnit
zcensurovat	rozcensurovat
zcivilnit	zcivilnět
zcivilnět	zcivilnit
zcukernit	zcukernět
zcukernět	zcukernit
zdemokratisovat	demokratisovat
zdemoralisovat	demoralisovat
zdiversifikovat	diversifikovat
zdravkat	zdrávkat
zdrobnit	zdrobnět
zdrobnět	zdrobnit
zdrávkat	zdravkat
zduchovnit	zduchovnět
zduchovnět	zduchovnit
zduševnit	zduševnět
zduševnět	zduševnit
zesentimentálnit	zesentimentálnět
zesentimentálnět	zesentimentálnit
zesilnit	zesilnět
zesilnět	zesilnit
zeskelnit	zeskelnět
zeskelnět	zeskelnit
zeslavnostnit	zeslavnostnět
zeslavnostnět	zeslavnostnit
zesličnit	zesličnět
zesličnět	zesličnit
zestandardisovat	standardisovat
zestraničtit	zestraničtět
zestraničtět	zestraničtit
zestručnit	zestručnět
zestručnět	zestručnit
zesvátečnit	zesvátečnět
zesvátečnět	zesvátečnit
zesymbolisovat	symbolisovat
zesympatisovat	sympatisovat
zevšeobecnit	zevšeobecnět
zevšeobecnět	zevšeobecnit
zextenzívnit	zextenzívnět
zextenzívnět	zextenzívnit
zgeneralisovat	rozgeneralisovat
zharmonisovat	harmonisovat
zhistorisovat	historisovat
zhmotnit	zhmotnět
zhmotnět	zhmotnit
zhorečnit	zhorečnět
zhorečnět	zhorečnit
zhrubit	zhrubět
zhrubět	zhrubit
zhybnit	zhybnět
zhybnět	zhybnit
zintensivnit	zintensivnět
zintensivnět	zintensivnit
zintenzívnit	zintenzívnět
zintenzívnět	zintenzívnit
zjařit	rozjařit
zjednostranit	zjednostranět
zjednostranět	zjednostranit
zjednotvárnit	zjednotvárnět
zjednotvárnět	zjednotvárnit
zklasičtit	zklasičtět
zklasičtět	zklasičtit
zkondensovat	kondensovat
zkonkretisovat	konkretisovat
zkonkrétnit	zkonkrétnět
zkonkrétnět	zkonkrétnit
zkonvenčnit	zkonvenčnět
zkonvenčnět	zkonvenčnit
zkouzelnit	zkouzelnět
zkouzelnět	zkouzelnit
zlacinit	zlacinět
zlacinět	zlacinit
zlakotnit	zlakotnět
zlakotnět	zlakotnit
zliterárnit	zliterárnět
zliterárnět	zliterárnit
zlogičtit	zlogičtět
zlogičtět	zlogičtit
zlíbeznit	zlíbeznět
zlíbeznět	zlíbeznit
zmalichernit	zmalichernět
zmalichernět	zmalichernit
zmatnit	zmatnět
zmatnět	zmatnit
zmechanisovat	mechanisovat
zmije	Zmij
zmilosrdnit	zmilosrdnět
zmilosrdnět	zmilosrdnit
zmilostnit	zmilostnět
zmilostnět	zmilostnit
zmléčnit	zmléčnět
zmléčnět	zmléčnit
zmobilisovat	rozmobilisovat
změšťáčtit	změšťáčtět
změšťáčtět	změšťáčtit
znehybnit	znehybnět
znehybnět	znehybnit
zneklidnit	zneklidnět
zneklidnět	zneklidnit
znemravnit	znemravnět
znemravnět	znemravnit
znepravidelnit	znepravidelnět
znepravidelnět	znepravidelnit
zneprůchodnit	zneprůchodnět
zneprůchodnět	zneprůchodnit
znepříjemnit	znepříjemnět
znepříjemnět	znepříjemnit
zniternit	zniternět
zniternět	zniternit
znádhernit	znádhernět
znádhernět	znádhernit
zněkolikanásobit	zněkolikanásobnit
zněkolikanásobnit	zněkolikanásobit
zněžnit	zněžnět
zněžnět	zněžnit
zobyčejnit	zobyčejnět
zobyčejnět	zobyčejnit
zoficiálnit	zoficiálnět
zoficiálnět	zoficiálnit
zohebnit	zohebnět
zohebnět	zohebnit
zohyzdnit	zohyzdnět
zohyzdnět	zohyzdnit
zoptimalisovat	optimalisovat
zpestřit	pestřit
zpikantnit	zpikantnět
zpikantnět	zpikantnit
zplacatit	zplacatět
zplacatět	zplacatit
zplamenit	zplamenět
zplamenět	zplamenit
zplastičtit	zplastičtět
zplastičtět	zplastičtit
zploštit	oploštit
zploštět	oploštět
zpopulárnit	zpopulárnět
zpopulárnět	zpopulárnit
zposvátnit	zposvátnět
zposvátnět	zposvátnit
zpovrchnit	zpovrchnět
zpovrchnět	zpovrchnit
zpovšechnit	zpovšechnět
zpovšechnět	zpovšechnit
zpravidelnit	zpravidelnět
zpravidelnět	zpravidelnit
zprimitivnit	zprimitivnět
zprimitivnět	zprimitivnit
zpružnit	zpružnět
zpružnět	zpružnit
zprůchodnit	zprůchodnět
zprůchodnět	zprůchodnit
zprůmyslnit	zprůmyslnět
zprůmyslnět	zprůmyslnit
zpřístupnit	zpřístupnět
zpřístupnět	zpřístupnit
zpřítomnit	zpřítomnět
zpřítomnět	zpřítomnit
zpřízvučnit	zpřízvučnět
zpřízvučnět	zpřízvučnit
zpříšernit	zpříšernět
zpříšernět	zpříšernit
způvabnit	způvabnět
způvabnět	způvabnit
zrabiátnit	zrabiátnět
zrabiátnět	zrabiátnit
zradostnět	rozradostnět
zrealističtit	zrealističtět
zrealističtět	zrealističtit
zreorganisovat	reorganisovat
zresonovat	rozresonovat
zreálnit	zreálnět
zreálnět	zreálnit
ztajemnit	ztajemnět
ztajemnět	ztajemnit
zteatrálnit	zteatrálnět
zteatrálnět	zteatrálnit
ztechničtit	ztechničtět
ztechničtět	ztechničtit
ztitěrnit	ztitěrnět
ztitěrnět	ztitěrnit
ztrpčit	roztrpčit
zuhelnit	zuhelnět
zuhelnět	zuhelnit
zumělečtit	zumělečtět
zumělečtět	zumělečtit
zvniternit	zvniternět
zvniternět	zvniternit
zvnitřnit	zvnitřnět
zvnitřnět	zvnitřnit
zvulgárnit	zvulgárnět
zvulgárnět	zvulgárnit
zvýraznit	zvýraznět
zvýraznět	zvýraznit
zvýznamnit	zvýznamnět
zvýznamnět	zvýznamnit
zvěcnit	zvěcnět
zvěcnět	zvěcnit
záhoř	záhoří
záhoří	záhoř
zásvětný	zásvětí
zásvětí	zásvětný
zúzkostnit	zúzkostnět
zúzkostnět	zúzkostnit
zživotnit	uživotnit
Ázerbajdžán	Ázerbájdžán
Ázerbájdžán	Ázerbajdžán
Čechák	čecháček
čecháček	Čechák
čnít	čnět
čnět	čnít
čurat	očurat
Řihák	Říhák
Říhák	Řihák
Šan	Šanov
Šanov	Šan
Štětkař	štětkář
šmírař	šmírařit
šmírařit	šmírař
špice	špicl
špicl	špice
štít	štítit
štítit	štít
štětkář	Štětkař
ťapat	ťápat
ťápat	ťapat
žalář	žalářit
žalářit	žalář
