Abraham	Abrahám
Abrahám	Abraham
Alexandr	Alexandrov
Alexandrov	Alexandr
Alexej	Alexejev
Alexejev	Alexej
Almohada	Almohád
Almohád	Almohada
Andrej	Andrejs
Andrejs	Andrej
Anna	Annan
Annan	Annen,Anna
Annen	Annan
Astrachaň	astrachán
Augustin	Augustýn
Augustýn	Augustin
Babice	babit
Babák	baba
Babík	babičkovat,babit
Bantu	bantovat
Bardot	bard
Benák	Benátky
Benátky	Benák
Blatnice	blata,Blatný
Blatný	blata,Blatnice,bláto
Bob	nabob
Bombaj	bomba
Bond	Bondy
Bondy	Bond
Boudný	bouda
Brandejs	Brandýs
Brandýs	Brandejs
Brod	brodit
Brook	brok
Brooker	broker
Brunej	brunet
Buda	budovat
Bába	baba
Bárt	Bárta
Bárta	Bárt
Bíl	bílý,běl
Bój	bóje
Běla	Bělina,běl,Bělov
Bělina	Běla,běl,Bělov
Bělov	běl,Bělík,Bělina,Běla
Bělík	běl,Bělov
Břehov	břeh
Březa	bříza,březí
Chalupník	chalupa
Chrasta	chrastit
Cibula	cibule
Dan	Dán,daň
David	Davidov
Davidov	David,davidián
Dlabač	dlabat
Dolina	dolinář,doliňák
Dominic	Dominik
Dominik	Dominic
Drda	Drdák
Drdák	Drda
Drozdov	drozd
Duša	duše
Dán	Dan,daň
Dírná	díra
Fantomas	fantom
Fin	Fink
Fink	Fin
Florena	Florentina,Florian,Florencie
Florencie	Florentina,Florena
Florentina	Florena,Florencie
Florian	Florena
Francie	frank
Franke	Franky,frank
Franky	frank,Franke,frankismus
František	frank
Fric	Frič
Frič	Fric
Fryg	Frýg
Frýg	Fryg
Gajda	gajdy
Gal	Gál,gall
Gent	agent
Gota	Gott
Gott	Gota
Gál	Gal
Halič	halit,halit
Hana	Haná
Haná	Hana
Havaj	Havana
Havana	Havaj
Hašler	hašlerka
Hejnice	hejno
Helvét	helvet,helvít
Hispanie	Hispánie
Hispánie	Hispanie
Hlinka	Hlinsko
Hlinsko	Hlinka
Hlohov	hloh
Hora	horor,horna
Horka	horký
Horniak	Hornik
Hornik	Horniak
Hověz	hovězí
Hrab	hrabě
Hrabák	hrabat,Hrabánek
Hrabánek	Hrabák
Hron	Hroník
Hroník	Hron
Hroza	hrůza
Hvězdář	hvězda
Háj	hájit
Hřebeč	hřebec,hřebit,hřeb
Jan	Ján
Janoš	Jánoš
Java	Jáva
Jelena	jelenář,jelen
Jesenin	jesen
Jinek	jiný,jíní
Jirous	Jirout
Jirout	Jirous
Jiří	jiřina
Johan	johanita
Juda	judo
Jurač	Jurák
Jurák	Jurač
Ján	Jan
Jánoš	Janoš
Jáva	Java
Kamenec	Kamený
Kamený	Kamenec
Kanaán	kanec
Kasák	kasa,kasat
Kladno	kladný
Klimák	klima
Klusák	klusat
Klučov	klučit
Klíma	klima
Kohl	Kohlík
Kohlík	Kohl
Konstantin	konstanta
