Abraham	Abrahám
Abrahám	Abraham
Adam	Adamík
Adamík	Adam
Afrika	afrikán
Albany	albánský,Albánie
Albánie	albánský,Albany
Alexandr	Alexandrov
Alexandrov	Alexandr
Alexej	Alexejev
Alexejev	Alexej
Aleš	Leš
Almohada	Almohád
Almohád	Almohada
Aman	amant
Amor	amur
Andrej	Andrejs,Andrejev
Andrejev	Andrej,Andrejs
Andrejs	Andrej,Andrejev
Anna	Annan,Annen
Annan	Annen,Anna
Annen	Annan,Anna
Antily	antika
Antoník	Antonín
Antonín	Antoník
Apollon	Apollón
Apollón	Apollon
Astrachaň	astrachán
August	Augustin,Augustýn
Augustin	Augustýn,augustinián,August
Augustýn	Augustin,August
Avar	var
Avila	vila
Ašanin	Šan
Babice	babit,babičkovat,Babík,bábita,baba
Babák	baba,Babán,Bába,bába,Babík
Babán	Babák,baba
Babík	babičkovat,babit,Babice,Babák,baba
Bach	bachař
Baloun	balon
Bambar	Bamber
Bamber	Bambar
Bantu	bantovat
Bardejov	bard
Bardot	bard
Barina	bariéra
Barma	barman
Bartes	Barthes
Barthes	Bartes
Baťa	Baťka
Baťka	Baťa
Bednár	bedna
Ben	Benák,bé
Benák	Benátky,Ben
Benátky	Benák
Bikey	bikovat,biker
Blanka	blána,Blansko
Blansko	Blanka
Blatnice	blata,Blatný,bláto
Blatný	blata,Blatnice,bláto
Bob	nabob,bobař
Bohdal	Bohdan
Bohdan	Bohdal
Bojan	boj
Bolev	bolet
Bombaj	bomba
Bond	Bondy
Bondy	Bond
Borat	borec,Born
Born	bor,Borovan,Borat
Borovan	Born
Bosna	bos
Boudný	bouda
Boulez	boule
Bourne	bourat
Bořík	bořit
Božka	bůh
Brandejs	Brandýs
Brandýs	Brandejs
Brdy	brzy
Brod	brodit
Brook	brok,brouk
Brooker	broker
Broum	Broumov,brum
Broumov	Broum
Brozan	brozovat
Brunej	brunet,brunátný
Buchanan	buchancovat
Buchara	Buchár
Buchár	Buchara
Buda	budovat,Budín,bouda
Budín	Buda
Bumbál	bumbat
Bunin	buňka
Burda	burza
Bury	burza
Bába	baba,Babák
Bánovec	bán,báň,bánit
Bárt	Bárta
Bárta	Bárt,bárka
Bíl	bílý,běl,Bělík,Bělina,Bělov
Bój	bóje,boj
Běla	Bělina,běl,Bělov,bílý,Bělík
Bělina	Běla,běl,Bělov,Bělík,bílý,Bíl
Bělov	běl,Bělík,Bělina,Běla,Bíl,bílý
Bělík	běl,Bělov,Bíl,Bělina,Běla
Břehov	břeh
Břest	Březa
Březa	bříza,březí,Březnice,zabřezat,Břest
Březnice	Březa
Chalupník	chalupa
Charous	Charouz
Charouz	Charous
Chile	chinin
Chopin	chopit
Chrasta	chrastit,Chrástek
Christián	christianizovat
Chruščev	Chruščov
Chruščov	Chruščev
Chrástek	Chrasta
Cibula	cibule
Cikán	cikánit
Cvrk	cvrčet
Daan	Dan
Dalmácie	dalmatin
Dan	Dán,daň,Daan,daněk
Daniel	daň
David	Davidov,davidián,Davis
Davidov	David,davidián
Davis	David
Divina	divý
Dlabač	dlabat
Dobš	Dobšík
Dobšík	Dobš
Dolina	dolinář,doliňák,Olina,dole
Dominic	Dominik
Dominik	Dominic
Don	nový,donace
Drda	Drdák
Drdák	Drda
Drozdov	drozd
Držovice	držka
Dublin	dubl
Duran	Uran
Duša	duše
Dyk	Ryk,dýka,dík
Dák	dát
Dán	Dan,daň
Dárí	dar
Dírná	díra
Děd	dědit,dědina
Efes	efekt
Ellington	Wellington
Eva	Evans
Evans	Eva
Fabián	Fábina
Fantomas	fantom,fantóm
Fatos	fatovat
Fikar	fikat
Fin	Fink
Fink	Fin
Florena	Florentina,Florian,Florencie
Florencie	Florentina,Florena
Florentina	Florena,Florencie,Florian
Florian	Florena,Florentina
Fojtka	fojt
Fojtík	fojt
Fon	fonovat
Forman	forma
Fous	fousy
Francie	frank,Franke,Franky,František,Franic,frankismus
Franic	Francie,frankismus
Franke	Franky,frank,frankismus,Francie
Franky	frank,Franke,frankismus,Francie
František	frank,Francie
Fric	Frič
Frič	Fric
Fryg	Frýg
Frísko	freska
Frýg	Fryg
Fučík	fučet
Fábina	Fabián
Fénicie	fénix,fén,fen
Gajda	gajdy,Gajdar
Gajdar	gajdy,Gajda
Gal	Gál,gall,Galicie,Galen,galejní,Galat
Galat	Gal
Galen	Gal,galejní,gall,Gál
Galicie	Gal,galejní
Gent	agent,gen
Get	Gét
Gorbačev	Gorbačov
Gorbačov	Gorbačev
Gota	Gott,Gotha
Gotha	Gota
Gothard	Gotthard
Gott	Gota
Gotthard	Gothard
Gál	Gal,gall,Galen
Gét	Get
Halas	halasit
Halič	halit,halit
Hamas	Hamák
Hamák	Hamas
Hana	Haná,hanit,Hanus
Hanus	Hana,Haná
Haná	Hana,Hanus,hanit
Havaj	Havana
Havana	Havaj
Havel	Havlov
Havlov	Havel,Havlíček
Havlíček	Havlov
Hay	Haydn
Haydn	Hay
Hašler	hašlerka
Hejnice	hejno,hejsek
Helvét	helvet,helvít
Henoch	Henry
Henry	Henoch
Herakleitos	Hérakleitos
Hermite	hermetika
Hispanie	Hispánie
Hispánie	Hispanie
Hlava	Hlaváč,hlavička
Hlaváč	hlava,Hlava
Hlinka	Hlinsko
Hlinsko	Hlinka
Hlohov	hloh
Hnát	hnanec
Hora	horor,horna,hůra,horký,horovat,Horác,Horka,hoře,hornatý
Horka	horký,horor,hora,Hora,Horác,horna,horovat
Horniak	Hornik,horňák,horna
Hornik	Horniak,horna,horňák
Horác	Hora,hora,horký,Horka
Housar	husar
Hověz	hovězí
Hořan	Hořín,zahořan
Hořín	Hořan
Hošta	Hoštice
Hoštice	Hošta
Hrab	hrabě
Hrabal	hrabat,Hrabánek
Hrabák	hrabat,Hrabánek
Hrabánek	Hrabák,hrabat,Hrabal
Hrdina	hrdý
Hromada	zhromadnit
Hron	Hroník
Hroník	Hron
Hroza	hrůza,hrozen
