Abraham	Abrahám
Abrahám	Abraham
Adam	Adamík
Adamík	Adam
Afrika	afrikán,afrikanistika
Agáta	agáve
Albany	albánský,Albánie,albína
Albánie	albánský,Albany
Alexandr	Alexandrov
Alexandrov	Alexandr
Alexej	Alexejev
Alexejev	Alexej
Aleš	Leš,Valeš
Almohada	Almohád
Almohád	Almohada
Altaj	alt
Alán	lán
Aman	amant,zamanout,man
Ambros	Ambroz
Ambroz	Ambros
Amor	amur
Andie	anděl,andezit
Andrej	Andrejs,Andrejev,Andrýs
Andrejev	Andrej,Andrejs
Andrejs	Andrej,Andrejev,Andrýs
Andráš	Ondrášov
Andrýs	Andrejs,Andrej
Anglie	anglistika
Anna	Annan,Annen
Annan	Annen,Anna
Annen	Annan,Anna
Antal	anténa
Antily	antika,vně,cé,ovce,Ola,anténa
Antoník	Antonín
Antonín	Antoník
Apolinář	apolit
Apollon	Apollón
Apollón	Apollon
Astrachaň	astrachán
Asýrie	Sýrie
Atlanta	Atlantik
Atlantik	Atlanta
Atény	tknout
August	Augustin,Augustýn
Augustin	Augustýn,augustinián,August
Augustýn	Augustin,August,augustinián
Avar	var,várka
Avila	vila
Aš	Iša
Ašanin	Šan,Šanov,ašant,šanovat
Babel	babit,Babice,Babík,baba
Babice	babit,babičkovat,Babík,bábita,baba,Bába,bába,Babák,Babán,Babel
Babák	baba,Babán,Bába,bába,Babík,Babice,babit
Babán	Babák,baba,Bába,bába,Babík,babit,Babice
Babík	babičkovat,babit,Babice,Babák,baba,Babán,Bába,bába,bábita,babočka,Babel
Bach	bachař,bácnout
Badar	bazar
Balakov	Balák
Balej	balet,balit
Bali	Balt,balík,bál,Balint,balit
Balint	Bali,balit
Baloun	balon,balonář
Balt	Bali
Balzac	balzám
Balák	Balakov
Bambar	Bamber
Bamber	Bambar
Bantu	bantovat,banka
Barbora	barbar
Bardejov	bard
Bardot	bard
Barina	bariéra
Barma	barman
Barnum	baryum
Bartes	Barthes
Barthes	Bartes
Bartončík	Bartoň
Bartoň	Bartončík
Barták	Bárta
Bask	bas
Bates	batika
Bašek	Baška
Baška	Bašek,bašta
Baťa	Baťka,bača
Baťka	Baťa
Bažant	bažit
Bednár	bedna
Ben	Benák,bé,benzín,Benátky,bez,bečka,bít
Bend	Benák,benzín,Benátky
Benák	Benátky,Ben,Bend,bé
Benátky	Benák,Ben,Bend
Bereza	Berg
Berg	Bereza
Berlín	berle
Bernhard	bernardýn
Bikey	bikovat,biker
Blahynka	blahý
Blanka	blána,Blansko,blanket,blata
Blansko	Blanka,blána
Blatnice	blata,Blatný,bláto,blána
Blatný	blata,Blatnice,bláto,blátovatět,zablátit,blána
Blažek	bláha
Bob	nabob,bobař
Bober	bobař
Bohdal	Bohdan
Bohdan	Bohdal
Bojan	boj
Bolev	bolet,Bolívie
Bolivián	Bolívie
Bolívar	Bolívie
Bolívie	Bolev,Bolivián,bolívar,Bolívar
Bombaj	bomba
Bond	Bondy
Bondy	Bond,bonzák
Boole	boule
Borat	borec,Born,bor,Borovan
Born	bor,Borovan,Borat,zodbornit,borůvka,borec,Zborov,Zborný,Oborný
Borovan	Born,bor,borůvka,Zborov,borec,Borat
Bosana	Bosna
Bosch	Bosna
Bosna	bos,Bosch,Bosana
Boudný	bouda,zaboudit,Buda
Boulez	boule,boulit
Bourne	bourat,bouře
Bořík	bořit
Božka	bůh,zboží
Brandejs	Brandýs,brand
Brandýs	Brandejs,brand
Brdečka	Brdy
Brdy	brzy,Brdečka
Brit	břit
Brod	brodit,brozovat,dobrodit
Brook	brok,brouk,brokař,brokovnice,Brooker
Brooker	broker,Brook
Broum	Broumov,brum
Broumov	Broum
Brozan	brozovat
Brož	brožura
Brunej	brunet,brunátný
Brusel	brusle
Buben	bubák,bubínkář,zabubat
Buchanan	buchancovat,buchat
Buchara	Buchár,Bucharin
Bucharin	Buchara
Buchár	Buchara,buchat,buchta
Buda	budovat,Budín,bouda,Juda,zabudnout,Boudný
Budín	Buda,budovat,zabudnout
Bumbál	bumbat
Bunin	buňka,buntovat
Burda	burza,Bury
Burjat	Bury
Bury	burza,jury,urbura,Burjat,Burda
Bystřice	zbystřet,bystrý
Bába	baba,Babák,bábita,Babice,Babán,Babík,babit
Bánovec	bán,báň,bánit,banán,banka
Bárt	Bárta,bárka
Bárta	Bárt,bárka,Barták
Bíl	bílý,běl,Bělík,Bělina,Bělov,Běla,bít
Bój	bóje,boj
Běla	Bělina,běl,Bělov,bílý,Bělík,Bíl
Bělina	Běla,běl,Bělov,Bělík,bílý,Bíl
Bělov	běl,Bělík,Bělina,Běla,Bíl,bílý
Bělík	běl,Bělov,Bíl,Bělina,Běla,bílý
Břehov	břeh
Břest	Březa,březí,vybříst,břečka,bříza,břevno
Březa	bříza,březí,Březnice,zabřezat,Břest,břeh,břečka,vybříst
Březina	březí
Březnice	Březa,březí,bříza
Chabera	chabý
Chalch	chalcedon
Chalupník	chalupa
Charous	Charouz
Charouz	Charous
Chetita	chechtat
Chile	chinin
Chod	chůdař
Chopin	chopit
Chorvat	chorý
Chrasta	chrastit,Chrástek
Christián	christianizovat
Chrudim	chrudit
Chruščev	Chruščov
Chruščov	Chruščev
Chrástek	Chrasta,chrastit
Cibula	cibule
Cikán	cikánit
Cvrk	cvrčet
Daan	Dan,Dán,daň
Dalmácie	dalmatin
Dan	Dán,daň,Daan,daněk,Daniel,Danaj,dál
Danaj	Dan
Daniel	daň,daněk,Dan
David	Davidov,davidián,Davis
Davidov	David,davidián,Davis
Davis	David,Davidov
Dekan	deka,Zykan
Detva	deka
Dietl	dieta
Dietrichstein	Ditrichstein
Dietrichštejn	Ditrichštejn
Ditrichstein	Dietrichstein
Ditrichštejn	Dietrichštejn
Divina	divý
Dlabač	dlabat
Dobš	Dobšík,doba
Dobšík	Dobš
Doksy	dok
Dolany	Solana,Podolan,odolat,Polana
Dolina	dolinář,doliňák,Olina,dole,důl
