				
	---------------------------------			
	4152 GROUPS FOR RULE COMBINATION: V-at --> A-aný, V-ovat --> A-ovaný			
				
	afrikanizovat	afrikanizovaný	V-at --> A-aný	
	afrikanizovat	afrikanizovaný	V-ovat --> A-ovaný	
				
*	avízovat	avizovaný	V-at --> A-aný	CHANGE: í -> i
*	avízovat	avizovaný	V-ovat --> A-ovaný	CHANGE: í -> i
				
	avízovat	avízovaný	V-at --> A-aný	
	avízovat	avízovaný	V-ovat --> A-ovaný	
				
	beatifikovat	beatifikovaný	V-at --> A-aný	
	beatifikovat	beatifikovaný	V-ovat --> A-ovaný	
				
	beletrizovat	beletrizovaný	V-at --> A-aný	
	beletrizovat	beletrizovaný	V-ovat --> A-ovaný	
				
	bolševizovat	bolševizovaný	V-at --> A-aný	
	bolševizovat	bolševizovaný	V-ovat --> A-ovaný	
				
	brutalizovat	brutalizovaný	V-at --> A-aný	
	brutalizovat	brutalizovaný	V-ovat --> A-ovaný	
				
	customizovat	customizovaný	V-at --> A-aný	
	customizovat	customizovaný	V-ovat --> A-ovaný	
				
	demystifikovat	demystifikovaný	V-at --> A-aný	
	demystifikovat	demystifikovaný	V-ovat --> A-ovaný	
				
*	demýtizovat	demytizovaný	V-at --> A-aný	CHANGE: ý -> y
*	demýtizovat	demytizovaný	V-ovat --> A-ovaný	CHANGE: ý -> y
				
*	demytizovat	demýtizovaný	V-at --> A-aný	CHANGE: y -> ý
*	demytizovat	demýtizovaný	V-ovat --> A-ovaný	CHANGE: y -> ý
				
	depatetizovat	depatetizovaný	V-at --> A-aný	
	depatetizovat	depatetizovaný	V-ovat --> A-ovaný	
				
	detabuizovat	detabuizovaný	V-at --> A-aný	
	detabuizovat	detabuizovaný	V-ovat --> A-ovaný	
				
*	dohadovat	dožadovaný	V-at --> A-aný	CHANGE: h -> ž
*	dohadovat	dožadovaný	V-ovat --> A-ovaný	CHANGE: h -> ž
				
*	dosídlovat	dosidlovaný	V-at --> A-aný	CHANGE: í -> i
*	dosídlovat	dosidlovaný	V-ovat --> A-ovaný	CHANGE: í -> i
				
*	dosidlovat	dosídlovaný	V-at --> A-aný	CHANGE: i -> í
*	dosidlovat	dosídlovaný	V-ovat --> A-ovaný	CHANGE: i -> í
				
	dranžírovat	dranžírovaný	V-at --> A-aný	
	dranžírovat	dranžírovaný	V-ovat --> A-ovaný	
				
*	drénovat	drenovaný	V-at --> A-aný	CHANGE: é -> e
*	drénovat	drenovaný	V-ovat --> A-ovaný	CHANGE: é -> e
				
*	drenovat	drénovaný	V-at --> A-aný	CHANGE: e -> é
*	drenovat	drénovaný	V-ovat --> A-ovaný	CHANGE: e -> é
				
	energetizovat	energetizovaný	V-at --> A-aný	
	energetizovat	energetizovaný	V-ovat --> A-ovaný	
				
	fluorizovat	fluorizovaný	V-at --> A-aný	
	fluorizovat	fluorizovaný	V-ovat --> A-ovaný	
				
	gratinovat	gratinovaný	V-at --> A-aný	
	gratinovat	gratinovaný	V-ovat --> A-ovaný	
				
*	hendikepovat	hendikepovaný	V-at --> A-aný	
*	hendikepovat	hendikepovaný	V-ovat --> A-ovaný	
				
	hydratovat	hydratovaný	V-at --> A-aný	
