chodba	abdohc	chod-b-a|chod-ba	OSTRAVA|OUR		ostrava	
třeba	abeřt	třeb-a|třeba	OSTRAVA|OUR		ostrava	
rada	adar	rad-a|rada	OSTRAVA|OUR		ostrava	
pravda	advarp	prav-d-a|prav-da	OSTRAVA|OUR		ostrava	
vražda	adžarv	vraž-d-a|vražd-a	OSTRAVA|OUR		ostrava	
praha	aharp	prah-a|praha	OSTRAVA|OUR		ostrava	
dědečka	akčeděd	děd-eč-k-a|děd-ečk-a	OSTRAVA|OUR		our	
hromádka	akdámorh	hromád-k-a|hromád-ka	OSTRAVA|OUR		ostrava	
afrika	akirfa	afrik-a|afrika	OSTRAVA|OUR		ostrava	
politika	akitilop	polit-i-k-a|politik-a	OSTRAVA|OUR	polit-ik-a	chyba	
schránka	aknárhcs	s-chrán-k-a|schránka	OSTRAVA|OSTRAVA	s-chrán-k-a	ostrava	
myšlenka	aknelšym	myšl-e-n-k-a|myšl-enka	OSTRAVA|OUR		ostrava	
maminka	aknimam	mam-in-k-a|mam-ink-a	OSTRAVA|OUR		our	
sbírka	akríbs	s-bír-k-a|s-bír-ka	OSTRAVA|OUR		ostrava	
hruška	akšurh	hruš-k-a|hruška	OSTRAVA|OUR		ostrava	
látka	aktál	lát-k-a|látka	OSTRAVA|OUR		ostrava	
matka	aktam	mat-k-a|matk-a	OSTRAVA|OUR		ostrava	
památka	aktámap	památ-k-a|památ-ka	OSTRAVA|OUR		ostrava	
stovka	akvots	st-ov-k-a|st-ovk-a	OSTRAVA|OUR		our	
křídla	aldířk	kří-dl-a|křídl-a	OSTRAVA|OUR		our	
naučila	aličuan	n-auč-i-l-a|na-uč-i-l-a	OSTRAVA|OSTRAVA	na-uč-i-l-a	ostrava	
nenaučila	aličuanen	ne-n-auč-i-l-a|ne-na-uč-i-l-a	OSTRAVA|OSTRAVA	ne-na-uč-i-l-a	ostrava	
mrtvola	alovtrm	mr-tv-ol-a|mrt-v-ol-a	OSTRAVA|OUR		ostrava	
téma	amét	tém-a|téma	OSTRAVA|OUR		ostrava	
sklopenýma	amýnepolks	s-klop-en-ý-m-a|s-klop-en-ýma	OSTRAVA|OUR		our	
slečna	ančels	sleč-n-a|slečn-a	OSTRAVA|OUR		our	
ramena	anemar	ram-en-a|ramen-a	OSTRAVA|OUR		ostrava	
začíná	áníčaz	za-č-í-n-á|za-čín-á	OSTRAVA|OUR		ostrava	
hodina	anidoh	hod-in-a|hodina	OSTRAVA|OUR	hodin-a	chyba	
rovina	anivor	rov-in-a|rovin-a	OSTRAVA|OUR		our	
panna	annap	pan-n-a|pann-a	OSTRAVA|OUR		our	
zrovna	anvorz	z-rov-n-a|z-rovn-a	OSTRAVA|OUR		our	
možná	ánžom	mož-n-á|mož-ná	OSTRAVA|OUR		homo	
zítra	artíz	zítr-a|zítra	OSTRAVA|OUR		ostrava	
spása	asáps	spás-a|s-pás-a	OSTRAVA|OUR		our	
husa	asuh	hus-a|husa	OSTRAVA|OUR		ostrava	
cigareta	ateragic	cigar-et-a|cigaret-a	OSTRAVA|OUR		our	-et- je tu zdrobnělina, což nekoresponduje s významem cigarety v čj
realita	atilaer	real-it-a|real-ita	OSTRAVA|OUR		ostrava	
hodnota	atondoh	hod-n-ot-a|hod-not-a	OSTRAVA|OUR		ostrava	
jistota	atotsij	jist-ot-a|jist-ota	OSTRAVA|OUR		ostrava	
spousta	atsuops	s-poust-a|spoust-a	OSTRAVA|OUR		our	
představa	avatsdeřp	před-stav-a|před-sta-v-a	OSTRAVA|OUR		ostrava	
znova	avonz	z-nov-a|znova	OSTRAVA|OUR		ostrava	
zločinec	ceničolz	zl-o-čin-ec|zlo-čin-ec	OSTRAVA|OUR		ostrava	
cizinec	cenizic	ciz-in-ec|ciz-inec	OSTRAVA|OUR		our	
koberec	cerebok	kober-ec|koberec	OSTRAVA|OUR		our	
synovec	cevonys	syn-ov-ec|syn-ovec	OSTRAVA|OUR		our	
švec	cevš	šv-ec|š-vec	OSTRAVA|OUR		ostrava	
nic	cin	ni-c|nic	OSTRAVA|OUR		our	
proč	čorp	pro-č|proč	OSTRAVA|OUR		our	
