COMPOUND	adenosinmonofosfátu	utáfsofonomnisoneda	adenosinmonofosfátu	?			hodiny	*
COMPOUND	adenozintrifosfátem	metáfsofirtnizoneda	adenozintrifosfátem	?				*
COMPOUND	administrativa	avitartsinimda	administrativa	?				*
COMPOUND	administrativy	yvitartsinimda	administrativy	?				*
COMPOUND	adolescentofilie	eilifotnecseloda	adolescentofilie	?				*
COMPOUND	aeroakrobacie	eicaborkaorea	aero akrobac i e					*
COMPOUND	aerodynamika	akimanydorea	aero dynam ik a					*
COMPOUND	aeroklub	bulkorea	aero klub					*
COMPOUND	aeroklubu	ubulkorea	aero klub u					*
COMPOUND	aerolinie	einilorea	aero lini e					*
COMPOUND	aerolinií	íinilorea	aero lini í					*
COMPOUND	aeroplánů	ůnálporea	aero plán ů					*
COMPOUND	aerosol	losorea	aerosol	?				*
COMPOUND	aerosolů	ůlosorea	aerosolů					*
COMPOUND	aerotaxi	ixatorea	aero taxi					*
COMPOUND	aerovýlety	ytelývorea	aero vý let y					*
COMPOUND	agentománii	iinámotnega	agent o máni i	?				*
COMPOUND	agroekosystémů	ůmétsysokeorga	agro eko systém ů					*
COMPOUND	agrokombinátu	utánibmokorga	agro kombin át u					
COMPOUND	agrokomplex	xelpmokorga	agro komplex	?				
COMPOUND	agrosalón	nólasorga	agro salón					
COMPOUND	agrosalonu	unolasorga	agro salon u					
COMPOUND	agroturistika	akitsirutorga	agro tur ist ik a					
COMPOUND	airbag	gabria	air bag					
COMPOUND	akceschopné	énpohcsecka	akce s chop n é					
COMPOUND	akceschopný	ýnpohcsecka	akce s chop n ý					
COMPOUND	akrylomalba	ablamolyrka	akryl o mal b a					
COMPOUND	aktinometrie	eirtemonitka	aktinometrie	?				
COMPOUND	aktinomykóza	azókymonitka	aktinomykóza	?				
COMPOUND	akupunktura	arutknupuka	aku punkt ur a					
COMPOUND	akupunkturou	uorutknupuka	aku punkt ur ou					
COMPOUND	akvabela	alebavka	akva bel a					
COMPOUND	akvapark	krapavka	akva park					
COMPOUND	akvarel	leravka	akvarel	?				
COMPOUND	akvarely	yleravka	akvarel y	?				
COMPOUND	akvizice	ecizivka	akvizice	?				
COMPOUND	alergologie	eigologrela	alerg o log i e					
COMPOUND	algologie	eigologla	algologie	?				
COMPOUND	algonkinských	hcýksniknogla	algonkinských	?				
COMPOUND	alobal	labola	alobal	?				
COMPOUND	alogamie	eimagola	alogamie					
COMPOUND	aminocukr	rkuconima	amino cukr					
COMPOUND	aminokyselina	anilesykonima	amino kys el in a		to si nepamatuju, jak jsme segmentovali kyselý			
COMPOUND	aminokyseliny	ynilesykonima	amino kys el in y					
COMPOUND	anageneze	ezenegana	anageneze					
COMPOUND	analfabetů	ůtebaflana	an alf a bet ů		nebo alfa doromady			
