absolventi 	 ab-solv-ent-i 	 absolvent-i
achronisticky 	 a-chron-ist-ic-k-y 	 a-chronist-ic-k-y
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
adresátů 	 adres-át-ů 	 adresát-ů
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
anglosaskou 	 angl-o-sas-k-ou 	 angl-o-sask-ou
architektury 	 archi-tekt-ur-y 	 architektur-y
arcilotras 	 arci-lotr-as 	 arci-lotras
argaláš 	 argaláš 	 argal-áš
argentiny 	 argentin-y 	 argent-in-y
atamanem 	 ataman-e-m 	 ataman-em
atlet 	 atlet 	 atle-t
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
balený 	 bal-en-ý 	 balen-ý
balených 	 bal-en-ých 	 balen-ých
betlémské 	 betlém-sk-é 	 betl-ém-sk-é
bezesných 	 beze-sn-ých 	 bezes-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blaho-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
budoucnosti 	 bud-ou-c-n-ost-i 	 bud-ouc-n-ost-i
budoucím 	 bud-ouc-ím 	 bud-ouc-í-m
budova 	 bud-ova 	 bud-ov-a
bulletinu 	 bulletin-u 	 bullet-in-u
bych 	 by-ch 	 bych
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 by-z-n-ys
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ové
celoživotní 	 cel-o-ži-v-ot-n-í 	 celo-živ-ot-n-í
cenovky 	 cen-ovk-y 	 cenov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chcete 	 chc-e-te 	 chce-te
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cimrmanovština 	 cimrman-ov-št-in-a 	 cimrman-ov-št-ina
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cácorka 	 các-or-k-a 	 cácor-k-a
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 daktylo-skop-i-e
dali 	 d-a-l-i 	 da-l-i
dana 	 dan-a 	 d-a-n-a
dané 	 d-a-n-é 	 dan-é
deklarována 	 de-klar-ová-n-a 	 deklar-ová-n-a
deklarováno 	 de-klar-ová-n-o 	 deklar-ová-n-o
deklarují 	 de-klar-uj-í 	 deklar-uj-í
delikátnostem 	 delikát-n-ost-e-m 	 delikátn-ost-em
devizové 	 deviz-ov-é 	 deviz-ové
dezinteresovat 	 dez-interes-ova-t 	 dezinteres-ova-t
distanční 	 dis-tanč-n-í 	 dist-anč-n-í
dkp 	 d-k-p 	 dkp
dobrodiní 	 dobr-o-di-n-í 	 dobr-odin-í
dobytí 	 do-by-tí 	 do-by-t-í
docentů 	 docent-ů 	 do-cent-ů
dodacích 	 do-d-a-c-ích 	 do-dac-ích
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
domáknout 	 do-mák-nou-t 	 domák-nou-t
dosvědčíme 	 do-s-věd-č-í-me 	 do-s-vědč-í-me
dotazníky 	 do-taz-ník-y 	 do-taz-n-ík-y
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
druhém 	 druh-é-m 	 druh-ém
dubnové 	 dubn-ov-é 	 dubn-ové
duchovně 	 duch-ov-n-ě 	 duch-ovn-ě
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-násob-ek
dvouměsíční 	 dv-ou-měsíč-n-í 	 dvou-měsíč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dvou-stran-ě
dynamická 	 dynam-ic-k-á 	 dynamic-k-á
dynamika 	 dynam-ik-a 	 dynamik-a
dálkové 	 dál-k-ov-é 	 dál-k-ové
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
dělení 	 děl-en-í 	 děl-e-n-í
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
důchod 	 dů-chod 	 důchod
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
energie 	 energ-i-e 	 energ-ie
