absolventi 	 ab-solv-ent-i 	 absolvent-i
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
antala 	 antal-a 	 anta-l-a
architektury 	 archi-tekt-ur-y 	 architektur-y
argentiny 	 argentin-y 	 argent-in-y
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
balený 	 bal-en-ý 	 balen-ý
bankovním 	 bank-ovn-ím 	 bank-ov-n-í-m
bekem 	 bekem 	 bek-em
bezesných 	 beze-sn-ých 	 bezesn-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
božínku 	 bož-ín-k-u 	 bož-ínk-u
budova 	 bud-ova 	 bud-ov-a
bulletinu 	 bulletin-u 	 bullet-in-u
bych 	 by-ch 	 bych
byznys 	 byznys 	 by-z-nys
bývávaly 	 bý-v-á-v-a-l-y 	 býv-á-v-a-l-y
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ové
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
cílevědomý 	 cíl-e-věd-om-ý 	 cíl-evěd-om-ý
daktyloskopie 	 daktylo-skopi-e 	 dakty-lo-skop-i-e
dali 	 d-a-l-i 	 da-l-i
daly 	 d-a-l-y 	 da-l-y
dana 	 dan-a 	 d-a-n-a
dané 	 d-a-n-é 	 dan-é
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
disciplíny 	 disciplín-y 	 dis-ciplín-y
distanční 	 dis-tanč-n-í 	 distanč-n-í
dkp 	 d-k-p 	 dkp
dobrodiní 	 dobr-o-di-n-í 	 dobrodin-í
dobytí 	 do-by-tí 	 do-by-t-í
docentů 	 docent-ů 	 do-cent-ů
dohromady 	 do-hromad-y 	 do-hro-mad-y
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
druhém 	 druh-é-m 	 druh-ém
dubnové 	 dubn-ov-é 	 dubn-ové
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-násob-ek
dvojí 	 dv-oj-í 	 dvoj-í
dvouměsíční 	 dv-ou-měsíč-n-í 	 dvou-měsíč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dv-ou-str-a-n-ě
dálkové 	 dál-k-ov-é 	 dál-k-ové
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
dřevěný 	 dřev-ě-n-ý 	 dřev-ěn-ý
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
ekologické 	 eko-log-ick-é 	 eko-log-ic-k-é
ekologického 	 eko-log-ick-ého 	 eko-log-ic-k-ého
ekonomickou 	 eko-nom-ick-ou 	 eko-nom-ic-k-ou
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
expansion 	 expansion 	 ex-pansion
experimentaci 	 experi-ment-ac-i 	 experiment-ac-i
fanoušků 	 fan-oušk-ů 	 fanoušk-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finálním 	 fin-ál-n-ím 	 fin-ál-n-í-m
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
fyzický 	 fyz-ic-k-ý 	 fyzi-c-k-ý
gastronomie 	 gastr-o-nom-i-e 	 gastr-o-nom-ie
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ova-t
graessnerii 	 graessnerii 	 graessneri-i
halou 	 hal-ou 	 halou
haly 	 hal-y 	 haly
haló 	 haló 	 hal-ó
hergot 	 hergot 	 her-got
hladověli 	 hlad-ov-ě-l-i 	 hlad-ově-l-i
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschul-e
hodnotím 	 hod-n-ot-í-m 	 hod-n-ot-ím
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horolezci 	 hor-o-lez-c-i 	 horolez-c-i
hra 	 hr-a 	 hra
hromková 	 hrom-k-ov-á 	 hromk-ov-á
hry 	 hr-y 	 hry
hudebníci 	 hud-eb-níc-i 	 hud-eb-n-íc-i
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
imigraci 	 i-migr-ac-i 	 imigr-ac-i
indikátorem 	 in-dik-át-or-em 	 indik-át-or-em
informačním 	 in-form-ač-n-ím 	 in-form-ač-n-í-m
informuje 	 in-form-uje 	 inform-uje
inkriminované 	 in-krimin-ova-n-é 	 in-kriminova-n-é
inspektor 	 in-spekt-or 	 in-spektor
instalaci 	 in-stal-ac-i 	 instal-ac-i
invalidní 	 in-valid-n-í 	 invalid-n-í
inzerátech 	 inzer-át-e-ch 	 inzerát-ech
ivančic 	 ivan-č-ic 	 ivanč-ic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-o-b-y
jakého 	 jak-é-ho 	 jak-ého
jednak 	 jednak 	 jedn-ak
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednoosý 	 jedn-o-os-ý 	 jedn-oos-ý
jednorázové 	 jedn-o-ráz-ov-é 	 jedn-oráz-ov-é
jednotlivina 	 jedn-ot-liv-in-a 	 jedn-ot-livin-a
jedním 	 jedn-í-m 	 jedn-ím
jejích 	 je-j-í-ch 	 jej-ích
jethro 	 jethro 	 jethr-o
jimž 	 j-i-m-ž 	 j-im-ž
jinonice 	 jinonic-e 	 jinon-ic-e
jmenují 	 jmen-u-j-í 	 jmen-uj-í
jídlo 	 jí-dl-o 	 jídl-o
kapacity 	 kapacit-y 	 kap-acit-y
kapesníček 	 kapes-níč-ek 	 kapes-n-íč-ek
kapli 	 kapl-i 	 kap-l-i
kardašovy 	 kardašov-y 	 kardaš-ov-y
katalozích 	 kata-loz-ích 	 kataloz-ích
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kdo-víkd-o
kdož 	 kdo-ž 	 kd-o-ž
klasifikaci 	 klasi-fik-ac-i 	 klasifik-ac-i
kliniky 	 klinik-y 	 klin-ik-y
klášterem 	 klášter-e-m 	 klášter-em
koho 	 k-o-ho 	 k-oho
kompetenci 	 kompet-enc-i 	 kompetenc-i
komu 	 k-o-mu 	 k-omu
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontilití 	 konti-li-t-í 	 kontil-it-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontraindik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontrolor-ů
kontroloři 	 kontrol-oř-i 	 kontro-loř-i
konviktem 	 kon-vikt-e-m 	 konvikt-em
kopřivnická 	 kopřiv-n-ic-k-á 	 kopřiv-nic-k-á
korespondenčními 	 ko-re-spond-enč-n-ími 	 kore-spond-enč-n-ími
kosmického 	 kosm-ic-k-é-ho 	 kosm-ick-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
koupací 	 koup-ac-í 	 koup-a-c-í
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
krakově 	 krakov-ě 	 krak-ov-ě
krumlesco 	 krumlesco 	 krumlesc-o
krumlova 	 krumlov-a 	 kruml-ov-a
krásným 	 krás-n-ý-m 	 krás-n-ým
kterého 	 kter-é-ho 	 kter-ého
kunovice 	 kun-ovic-e 	 kunov-ic-e
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 křídl-em
kšeft 	 kšeft 	 kšef-t
kůzlátek 	 kůzl-át-ek 	 kůzl-átek
lavina 	 lav-in-a 	 lavin-a
lavírovat 	 lav-ír-ova-t 	 lavír-ova-t
lehkým 	 leh-k-ý-m 	 leh-k-ým
lesním 	 les-n-ím 	 les-n-í-m
lidem 	 lid-e-m 	 lid-em
limit 	 limit 	 lim-i-t
loupežníkem 	 loup-ež-n-ík-e-m 	 loup-ež-n-ík-em
ltd 	 l-t-d 	 ltd
luděk 	 luděk 	 lud-ěk
lukách 	 luk-á-ch 	 luk-ách
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
maiden 	 maid-en 	 maiden
maličkosti 	 mal-ič-k-ost-i 	 mal-ičk-ost-i
maličký 	 mal-ič-k-ý 	 mal-ičk-ý
malkovského 	 malkovsk-ého 	 malk-ov-sk-ého
manager 	 manag-er 	 manager
manažerovi 	 manažer-ovi 	 manaž-er-ovi
manýrám 	 manýr-á-m 	 manýr-ám
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
masivní 	 mas-iv-n-í 	 masiv-n-í
materiálové 	 materi-ál-ov-é 	 mater-i-ál-ov-é
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyz-ic-k-ých
metodologicky 	 metodo-log-ic-k-y 	 metod-o-log-ick-y
mezitím 	 mezi-t-ím 	 mezi-t-í-m
meziříčí 	 mezi-říč-í 	 meziř-íč-í
mečení 	 meč-e-n-í 	 meč-en-í
mikroorganismy 	 mikro-organ-ism-y 	 mikroorgan-ism-y
miliarda 	 miliard-a 	 mili-ard-a
milostpane 	 mil-ost-pan-e 	 mil-ostpa-ne
minimum 	 minim-um 	 minimum
minulý 	 min-ul-ý 	 mi-nu-l-ý
mjasisčev 	 mjasisčev 	 mjasisč-ev
mladého 	 mlad-é-ho 	 mlad-ého
mnichově 	 mnichov-ě 	 mnich-ov-ě
moderního 	 modern-í-ho 	 modern-ího
moje 	 moj-e 	 m-oje
monopolu 	 mon-o-pol-u 	 mono-pol-u
motorlet 	 motor-let 	 motorl-e-t
motorletu 	 motor-let-u 	 motorlet-u
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mrcho 	 mrch-o 	 mrcho
mužského 	 muž-sk-é-ho 	 muž-sk-ého
mávne 	 máv-n-e 	 máv-ne
médií 	 médi-í 	 méd-i-í
mésti 	 mést-i 	 més-ti
mých 	 m-ý-ch 	 mých
měli 	 mě-l-i 	 m-ě-l-i
měřítka 	 měř-í-tk-a 	 měř-ít-k-a
měřítku 	 měř-í-tk-u 	 měř-ít-k-u
nabitý 	 na-bi-t-ý 	 na-bit-ý
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 nad-in-divid-u-ál-n-ího
nadějemi 	 na-děj-e-m-i 	 na-děj-emi
nadřaděného 	 nad-řad-ěn-é-ho 	 nad-řad-ěn-ého
nadšení 	 na-dš-en-í 	 nad-š-en-í
nadšením 	 na-dš-en-í-m 	 nad-š-en-ím
namésti 	 na-mést-i 	 na-més-ti
nebrání 	 ne-brán-í 	 ne-br-á-n-í
negativními 	 negat-iv-n-ími 	 neg-at-iv-n-ími
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 ne-jakt-iv-n-ěj-š-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ěj-š-í-m
nejdivočejší 	 nej-div-oč-ej-š-í 	 nej-div-oč-ejš-í
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 nej-krás-n-ěj-š-ích
nejpovolanějšímu 	 nej-po-vol-a-n-ějš-ímu 	 nej-po-vola-n-ějš-ímu
nejsladšího 	 nej-slad-š-í-ho 	 nej-slad-š-ího
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 nej-vz-dál-en-ějš-í
nejvzácnější 	 nej-vzácn-ějš-í 	 nej-vzác-n-ějš-í
nejzřetelněji 	 nej-zř-e-tel-n-ěji 	 nej-zř-e-teln-ěji
nejčastějších 	 nej-čast-ěj-š-í-ch 	 nej-čast-ěj-š-ích
nekvete 	 ne-kvet-e 	 ne-kve-te
nelegální 	 ne-leg-ál-n-í 	 ne-legál-n-í
nemálo 	 ne-mál-o 	 ne-má-l-o
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-uje-te
nepředepisují 	 ne-přede-pis-uj-í 	 ne-pře-depis-uj-í
nepředpokládám 	 ne-před-po-klád-á-m 	 ne-před-po-kládám
neumožňuje 	 ne-u-možň-uje 	 ne-u-mož-ň-uje
neumí 	 ne-um-í 	 ne-u-m-í
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-za-měst-n-a-n-osti
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
nezlob 	 ne-zlob 	 ne-z-lob
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-m-ého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-teln-ost
nitěných 	 nit-ěn-ý-ch 	 nit-ěn-ých
norem 	 norem 	 nor-em
nosem 	 nos-e-m 	 nos-em
novinám 	 nov-in-á-m 	 nov-in-ám
nula 	 nul-a 	 nu-l-a
nuly 	 nul-y 	 nu-l-y
nykláku 	 nyklák-u 	 ny-klák-u
nymburka 	 nymburk-a 	 nymbur-k-a
nábytek 	 ná-by-tek 	 ná-byt-ek
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
