absolventi 	 ab-solv-ent-i 	 absolvent-i
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
aeromagneticky 	 aero-magnet-ic-k-y 	 aero-magnet-ick-y
akceptovat 	 akcept-ova-t 	 a-kcept-ova-t
aktuálního 	 akt-uál-n-ího 	 akt-u-ál-n-ího
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
antala 	 antal-a 	 ant-a-l-a
antidatujeme 	 anti-dat-uje-me 	 antidat-uje-me
architektury 	 archi-tekt-ur-y 	 architektur-y
argentiny 	 argentin-y 	 argent-in-y
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
autorská 	 autor-sk-á 	 aut-or-sk-á
avšak 	 a-však 	 av-šak
babičku 	 bab-ič-k-u 	 bab-ičk-u
bankovním 	 bank-ovn-ím 	 bank-ovn-í-m
bekem 	 bekem 	 bek-em
betlémské 	 betlém-sk-é 	 betl-ém-sk-é
bezesných 	 beze-sn-ých 	 bez-es-n-ých
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-pře-jeme
brummellův 	 brummell-ův 	 bru-mmellův
budoucím 	 bud-ouc-ím 	 bud-ouc-í-m
budova 	 bud-ova 	 bud-ov-a
budweiserová 	 budweiser-ov-á 	 bud-weiser-ov-á
bych 	 by-ch 	 bych
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 by-znys
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 cel-k-ové
celníky 	 cel-n-ík-y 	 cel-ník-y
celoživotní 	 cel-o-ži-v-ot-n-í 	 celo-ž-i-v-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chlapík 	 chlap-ík 	 chlapík
chvílích 	 chvíl-í-ch 	 chvíl-ích
chystané 	 chyst-a-n-é 	 chysta-n-é
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
