absolventi 	 ab-solv-ent-i 	 absolvent-i
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
aeromagneticky 	 aero-magnet-ic-k-y 	 aeromagnet-ic-k-y
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
architektury 	 archi-tekt-ur-y 	 architektur-y
argaláš 	 argaláš 	 argal-áš
argentiny 	 argentin-y 	 argent-in-y
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
autorská 	 autor-sk-á 	 aut-or-sk-á
avšak 	 a-však 	 av-šak
babičku 	 bab-ič-k-u 	 bab-ičk-u
balený 	 bal-en-ý 	 balen-ý
balených 	 bal-en-ých 	 balen-ých
bania 	 bani-a 	 bania
bankovek 	 bank-ovek 	 bank-ov-ek
bankovním 	 bank-ovn-ím 	 bank-ov-n-ím
bezesných 	 beze-sn-ých 	 bezes-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
bolení 	 bol-e-n-í 	 bol-en-í
božínku 	 bož-ín-k-u 	 božín-k-u
brummellův 	 brummell-ův 	 brum-mell-ův
budoucím 	 bud-ouc-ím 	 bud-ou-c-ím
budova 	 bud-ova 	 bud-ov-a
bulletinu 	 bulletin-u 	 bullet-in-u
byznys 	 byznys 	 by-z-nys
bývávaly 	 bý-v-á-v-a-l-y 	 bý-vá-v-a-l-y
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celoživotní 	 cel-o-ži-v-ot-n-í 	 cel-o-ž-i-vot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chutnání 	 chut-n-á-n-í 	 chutn-á-n-í
