absolventi 	 ab-solv-ent-i 	 absolvent-i
achronisticky 	 a-chron-ist-ic-k-y 	 a-chron-ist-ick-y
agnoston 	 agnoston 	 a-gnoston
albigenský 	 albigen-sk-ý 	 albig-en-sk-ý
aloise 	 alois-e 	 aloise
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
aniž 	 aniž 	 ani-ž
antala 	 antal-a 	 ant-a-l-a
argentiny 	 argentin-y 	 argent-in-y
atamanem 	 ataman-e-m 	 ataman-em
atlet 	 atlet 	 atle-t
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
bania 	 bani-a 	 bania
bankovek 	 bank-ovek 	 bank-ov-ek
bankovním 	 bank-ovn-ím 	 bank-ov-n-í-m
barikádovat 	 barik-ád-ova-t 	 barikád-ova-t
bekem 	 bekem 	 bek-em
benediktýnů 	 benedikt-ýn-ů 	 bene-dikt-ýn-ů
bojíme 	 boj-í-me 	 bo-j-í-me
bolení 	 bol-e-n-í 	 bol-en-í
božínku 	 bož-ín-k-u 	 božín-k-u
budoucím 	 bud-ouc-ím 	 bud-ou-c-ím
budova 	 bud-ova 	 bud-ov-a
budweiserová 	 budweiser-ov-á 	 bud-weiser-ov-á
bulletinu 	 bulletin-u 	 bullet-in-u
byznys 	 byznys 	 by-zn-y-s
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celníky 	 cel-n-ík-y 	 cel-ník-y
celoživotní 	 cel-o-ži-v-ot-n-í 	 celož-i-v-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chcete 	 chc-e-te 	 chce-te
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 daktylo-skop-i-e
dana 	 dan-a 	 d-a-n-a
dané 	 d-a-n-é 	 dan-é
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
dem 	 dem 	 d-em
denním 	 den-n-í-m 	 den-n-ím
diavolo 	 diavolo 	 diavol-o
disciplíny 	 disciplín-y 	 dis-ciplín-y
distanční 	 dis-tanč-n-í 	 dist-anč-n-í
dkp 	 d-k-p 	 dk-p
