absolventi 	 ab-solv-ent-i 	 absolvent-i
adami 	 adami 	 ad-ami
adaptabilní 	 adapt-abil-n-í 	 adapt-ab-il-n-í
adresátů 	 adres-át-ů 	 adresát-ů
agovávat 	 agov-á-v-a-t 	 agová-v-a-t
aktuálního 	 akt-uál-n-ího 	 akt-u-ál-n-ího
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
amerikánská 	 amerik-án-sk-á 	 amerikán-sk-á
anatólii 	 anatól-i-i 	 ana-tóli-i
anthony 	 anthony 	 anthon-y
arcilotras 	 arci-lotr-as 	 arci-lotras
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
balený 	 bal-en-ý 	 balen-ý
balených 	 bal-en-ých 	 balen-ých
bania 	 bani-a 	 bania
bankovním 	 bank-ovn-ím 	 bank-ov-n-í-m
bekem 	 bekem 	 bek-em
benzylchorid 	 benz-yl-chor-id 	 benzyl-chorid
bezesných 	 beze-sn-ých 	 bezes-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
bláznivého 	 blázn-iv-ého 	 blázn-i-v-ého
bodiny 	 bod-in-y 	 bodin-y
bolení 	 bol-e-n-í 	 bol-en-í
božínku 	 bož-ín-k-u 	 božín-k-u
brožura 	 brožur-a 	 brožura
budoucnosti 	 bud-ou-c-n-ost-i 	 bud-ouc-n-ost-i
budoucím 	 bud-ouc-ím 	 budouc-í-m
budova 	 bud-ova 	 bud-ov-a
bulletinu 	 bulletin-u 	 bullet-in-u
bych 	 by-ch 	 bych
bytu 	 by-t-u 	 byt-u
bázlivá 	 bá-z-l-iv-á 	 báz-l-iv-á
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celoživotní 	 cel-o-ži-v-ot-n-í 	 celo-ži-v-ot-n-í
cenovky 	 cen-ovk-y 	 cenov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chcete 	 chc-e-te 	 chcete
chutnání 	 chut-n-á-n-í 	 chutn-á-n-í
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
courama 	 cour-ama 	 cour-am-a
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cácorka 	 các-or-k-a 	 cácor-k-a
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 daktylo-skop-i-e
dali 	 d-a-l-i 	 da-l-i
daly 	 d-a-l-y 	 da-l-y
dané 	 d-a-n-é 	 dan-é
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
demoralizovat 	 de-moral-iz-ova-t 	 demoral-iz-ova-t
devizové 	 deviz-ov-é 	 de-viz-ov-é
dezinfikovat 	 dez-infik-ova-t 	 dez-in-fik-ova-t
diavolo 	 diavolo 	 diavol-o
disciplíny 	 disciplín-y 	 dis-ciplín-y
distanční 	 dis-tanč-n-í 	 dist-a-nč-n-í
dlouhodobého 	 dlouh-o-dob-ého 	 dlouh-o-do-b-ého
dobrodiní 	 dobr-o-di-n-í 	 dob-rod-in-í
dobytí 	 do-by-tí 	 do-by-t-í
docentů 	 docent-ů 	 do-cent-ů
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
drožkář 	 drožk-ář 	 drož-k-ář
druhém 	 druh-é-m 	 druh-ém
duchovně 	 duch-ov-n-ě 	 duch-ovn-ě
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-ná-sob-ek
dvouměsíční 	 dv-ou-měsíč-n-í 	 dvo-u-měsíč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dvoustran-ě
dávána 	 d-á-v-á-n-a 	 dá-v-á-n-a
dřevěný 	 dřev-ě-n-ý 	 dřev-ěn-ý
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
důkladněji 	 dů-klad-n-ěji 	 dů-klad-n-ěj-i
ekologické 	 eko-log-ick-é 	 eko-log-ic-k-é
ekologického 	 eko-log-ick-ého 	 eko-log-ic-k-ého
ekonomickou 	 eko-nom-ick-ou 	 eko-nom-ic-k-ou
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
energie 	 energ-i-e 	 energie
epocha 	 epoch-a 	 e-poch-a
expansion 	 expansion 	 expans-ion
faktorů 	 fakt-or-ů 	 faktor-ů
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farmac-eut-ic-k-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finálním 	 fin-ál-n-ím 	 fin-ál-n-í-m
fluorově 	 fluor-ov-ě 	 fluor-ově
fondem 	 fondem 	 fond-em
fosforeskovat 	 fosfor-esk-ova-t 	 fosforesk-ova-t
francouzsky 	 franc-ouz-sk-y 	 francouzsk-y
francouzského 	 franc-ouz-sk-ého 	 francouz-sk-ého
fyzický 	 fyz-ic-k-ý 	 fyzic-k-ý
garance 	 garanc-e 	 garan-c-e
gastronomie 	 gastr-o-nom-i-e 	 gastro-nom-i-e
generál 	 gener-ál 	 generál
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ova-t
graessnerii 	 graessnerii 	 graessneri-i
haló 	 haló 	 hal-ó
herní 	 her-n-í 	 hern-í
hladověli 	 hlad-ov-ě-l-i 	 hlad-ov-ěl-i
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnedle 	 hned-le 	 hnedl-e
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschule
hodnotím 	 hod-n-ot-í-m 	 hod-n-ot-ím
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holandsku 	 holand-sk-u 	 holandsk-u
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horálek 	 horálek 	 horál-ek
hra 	 hr-a 	 hra
hromková 	 hrom-k-ov-á 	 hromk-ov-á
hroznou 	 hrozn-ou 	 hroz-n-ou
hry 	 hr-y 	 hry
hudebníci 	 hud-eb-níc-i 	 hud-eb-n-íc-i
humbuk 	 humbuk 	 hum-buk
husími 	 hus-í-m-i 	 hus-ími
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
imigraci 	 i-migr-ac-i 	 imigr-ac-i
inaugurován 	 inaugur-ová-n 	 ina-ugur-ová-n
indikátorem 	 in-dik-át-or-em 	 indik-át-or-em
individuální 	 in-divid-u-ál-n-í 	 in-dividu-ál-n-í
inherovat 	 inher-ova-t 	 i-nher-ova-t
inovace 	 inov-ace 	 inov-ac-e
instrumentů 	 instru-ment-ů 	 instrument-ů
intuice 	 intuic-e 	 intui-c-e
invalidní 	 in-valid-n-í 	 invalid-n-í
inzerátech 	 inzer-át-e-ch 	 inzer-át-ech
ivančic 	 ivan-č-ic 	 ivančic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-ob-y
jakého 	 jak-é-ho 	 jak-ého
jednak 	 jednak 	 jed-nak
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednomotorových 	 jedn-o-motor-ov-ých 	 jedn-o-m-otor-ov-ých
jednotlivina 	 jedn-ot-liv-in-a 	 jedn-ot-l-iv-in-a
jednotlivými 	 jedn-ot-liv-ými 	 jedn-ot-l-iv-ými
jedním 	 jedn-í-m 	 jedn-ím
jejích 	 je-j-í-ch 	 jej-ích
jimž 	 j-i-m-ž 	 j-im-ž
jindy 	 jin-d-y 	 jind-y
jmenují 	 jmen-u-j-í 	 jmen-uj-í
juránkův 	 jur-ánk-ův 	 jurán-k-ův
jídlo 	 jí-dl-o 	 jídl-o
kapacity 	 kapacit-y 	 kapa-cit-y
kapitální 	 kapitál-n-í 	 kapit-ál-n-í
