černorudý 	 čern-o-rud-ý 	 černo-rud-ý
hadrník 	 hadr-ník 	 hadr-n-ík
meziprostoru 	 mezi-prostor-u 	 mezi-pro-stor-u
wikipedie 	 wiki-pedi-e 	 wikipedi-e
kozelcovat 	 koz-el-c-ova-t 	 kozelc-ova-t
radikálně 	 radikál-n-ě 	 radik-ál-n-ě
tkalcovat 	 tk-a-l-c-ova-t 	 tkal-c-ova-t
lasík 	 las-ík 	 lasík
sovětizovat 	 so-vět-iz-ova-t 	 sovět-iz-ova-t
hokejisté 	 hokej-ist-é 	 hokejist-é
chlípný 	 chlípn-ý 	 chlíp-n-ý
technokultura 	 techn-o-kult-ur-a 	 techno-kult-ur-a
nezlobte 	 ne-zl-ob-te 	 ne-zlob-te
kontraindikace 	 kontra-in-dik-ac-e 	 kontra-indik-ac-e
neratovice 	 nerat-ov-ic-e 	 ne-rat-ov-ic-e
přestane 	 pře-sta-ne 	 pře-sta-n-e
satirizovat 	 satir-iz-ova-t 	 sat-ir-iz-ova-t
zvýraznění 	 z-vý-raz-n-ěn-í 	 z-vý-raz-n-ě-n-í
pupila 	 pupil-a 	 pupi-l-a
presso 	 press-o 	 presso
funebráků 	 fun-ebr-ák-ů 	 fune-br-ák-ů
ruština 	 ruš-t-in-a 	 rušt-in-a
dával 	 d-á-v-a-l 	 d-á-v-al
holocén 	 holo-cén 	 holocén
potenciální 	 potenc-iál-n-í 	 potenciál-n-í
formosu 	 formos-u 	 form-os-u
stráský 	 strás-k-ý 	 strásk-ý
konskripční 	 kon-skrip-č-n-í 	 kon-skripč-n-í
pásmu 	 pás-m-u 	 pásm-u
hrají 	 hra-j-í 	 hraj-í
vzducholodi 	 vz-duch-o-lod-i 	 vz-duch-o-lodi
dvojče 	 dvoj-če 	 dvojč-e
jablunkov 	 jablunk-ov 	 jablun-k-ov
osobám 	 osob-ám 	 osob-á-m
podlec 	 podl-ec 	 pod-lec
angažován 	 angaž-ová-n 	 an-gaž-ová-n
ukrajina 	 ukrajin-a 	 u-kraj-in-a
fotoreportáž 	 fot-o-re-port-áž 	 foto-re-port-áž
kriminál 	 kriminál 	 krimin-ál
