absolventi 	 ab-solv-ent-i 	 absolvent-i
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
antala 	 antal-a 	 ant-a-l-a
architektury 	 archi-tekt-ur-y 	 archi-tektur-y
argaláš 	 argaláš 	 arg-al-áš
argentiny 	 argentin-y 	 argent-in-y
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
asistentů 	 asist-ent-ů 	 asistent-ů
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
bania 	 bani-a 	 bania
bankovním 	 bank-ovn-ím 	 bank-ov-n-ím
bezesných 	 beze-sn-ých 	 beze-s-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
budova 	 bud-ova 	 bud-ov-a
bulletinu 	 bulletin-u 	 bul-let-in-u
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 by-zn-y-s
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celoživotní 	 cel-o-ži-v-ot-n-í 	 celo-živ-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chcete 	 chc-e-te 	 chce-te
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
cílevědomý 	 cíl-e-věd-om-ý 	 cíl-evěd-om-ý
daktyloskopie 	 daktylo-skopi-e 	 daktylo-sk-op-i-e
dali 	 d-a-l-i 	 dal-i
dana 	 dan-a 	 d-a-n-a
dané 	 d-a-n-é 	 dan-é
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
devizové 	 deviz-ov-é 	 de-viz-ov-é
disciplíny 	 disciplín-y 	 dis-cipl-ín-y
distanční 	 dis-tanč-n-í 	 dist-anč-n-í
dkp 	 d-k-p 	 dkp
dober 	 do-ber 	 dober
dobrodiní 	 dobr-o-di-n-í 	 dobr-od-in-í
docentů 	 docent-ů 	 do-cent-ů
dodacích 	 do-d-a-c-ích 	 do-da-c-ích
dohromady 	 do-hromad-y 	 do-hro-mad-y
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
druhém 	 druh-é-m 	 druh-ém
duchovně 	 duch-ov-n-ě 	 duch-ovn-ě
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-násob-ek
dvojí 	 dv-oj-í 	 dvoj-í
dvouměsíční 	 dv-ou-měsíč-n-í 	 dvou-měsíč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dv-ou-str-a-n-ě
dynamická 	 dynam-ic-k-á 	 dynamic-k-á
dynamika 	 dynam-ik-a 	 dynamik-a
dálkové 	 dál-k-ov-é 	 dál-k-ové
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
expansion 	 expansion 	 ex-pan-sion
faktorů 	 fakt-or-ů 	 faktor-ů
faktury 	 fakt-ur-y 	 faktur-y
fanoušků 	 fan-oušk-ů 	 fanoušk-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finálním 	 fin-ál-n-ím 	 finál-n-í-m
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
fyzický 	 fyz-ic-k-ý 	 fyzi-c-k-ý
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ova-t
graessnerii 	 graessnerii 	 graessner-i-i
haló 	 haló 	 hal-ó
hegelianism 	 hegelian-ism 	 hegeli-an-ism
hergot 	 hergot 	 her-got
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschu-l-e
hodnotím 	 hod-n-ot-í-m 	 hod-n-ot-ím
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horolezci 	 hor-o-lez-c-i 	 horo-lez-c-i
houston 	 houston 	 hous-t-on
hra 	 hr-a 	 hra
hranic 	 hran-ic 	 hran-i-c
hry 	 hr-y 	 hry
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
imigraci 	 i-migr-ac-i 	 imigr-ac-i
indikátorem 	 in-dik-át-or-em 	 indik-átor-em
inspektor 	 in-spekt-or 	 in-spektor
inzerátech 	 inzer-át-e-ch 	 inzer-át-ech
ivančic 	 ivan-č-ic 	 ivanč-ic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-ob-y
jakého 	 jak-é-ho 	 jak-ého
janků 	 jan-k-ů 	 jank-ů
javelin 	 javelin 	 javel-in
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jedním 	 jedn-í-m 	 jedn-ím
jejích 	 je-j-í-ch 	 jej-ích
jimž 	 j-i-m-ž 	 j-im-ž
jindy 	 jin-d-y 	 jind-y
jinonice 	 jinonic-e 	 jin-on-ic-e
jmenují 	 jmen-u-j-í 	 jmen-uj-í
kardašovy 	 kardašov-y 	 kardaš-ov-y
kasernovat 	 kasern-ova-t 	 kaser-n-ova-t
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
kavkám 	 kav-k-ám 	 kavk-ám
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kdoví-kd-o
kdož 	 kdo-ž 	 kd-o-ž
klesne 	 kles-ne 	 kles-n-e
klášterem 	 klášter-e-m 	 klášter-em
koho 	 k-o-ho 	 koho
komu 	 k-o-mu 	 komu
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontilití 	 konti-li-t-í 	 kontilit-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontraindik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontrolor-ů
kontroloři 	 kontrol-oř-i 	 kontroloř-i
konviktem 	 kon-vikt-e-m 	 konvikt-em
korespondenčními 	 ko-re-spond-enč-n-ími 	 ko-respond-enč-n-ími
kosmického 	 kosm-ic-k-é-ho 	 kosm-ick-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
koupací 	 koup-ac-í 	 koup-a-c-í
koupete 	 koup-e-te 	 koup-ete
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
krakově 	 krakov-ě 	 krak-ov-ě
krumlesco 	 krumlesco 	 krumlesc-o
krumlova 	 krumlov-a 	 kruml-ov-a
krytý 	 kry-t-ý 	 kryt-ý
krásným 	 krás-n-ý-m 	 krás-n-ým
kterého 	 kter-é-ho 	 kter-ého
kunovice 	 kun-ovic-e 	 kunov-ic-e
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 křídl-em
lavina 	 lav-in-a 	 lavin-a
lehkým 	 leh-k-ý-m 	 leh-k-ým
lesním 	 les-n-ím 	 les-n-í-m
lhostejnět 	 lhostej-n-ě-t 	 lhostejn-ě-t
lidem 	 lid-e-m 	 lid-em
limit 	 limit 	 lim-i-t
loupežníkem 	 loup-ež-n-ík-e-m 	 loup-ež-n-ík-em
ltd 	 l-t-d 	 ltd
luděk 	 luděk 	 lud-ěk
lukách 	 luk-á-ch 	 luk-ách
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
lékárnám 	 lék-ár-n-ám 	 lék-ár-n-á-m
maiden 	 maid-en 	 maiden
maličkosti 	 mal-ič-k-ost-i 	 mal-ičk-ost-i
maličký 	 mal-ič-k-ý 	 mal-ičk-ý
malkovského 	 malkovsk-ého 	 malk-ov-sk-ého
manager 	 manag-er 	 manager
manažerovi 	 manažer-ovi 	 manaž-er-ovi
manýrám 	 manýr-á-m 	 manýr-ám
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
materialisty 	 mater-i-al-ist-y 	 materi-al-ist-y
materiálové 	 materi-ál-ov-é 	 materiál-ov-é
materiálu 	 mater-i-ál-u 	 materi-ál-u
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyz-ic-k-ých
metodologicky 	 metodo-log-ic-k-y 	 metod-o-log-ick-y
mezitím 	 mezi-t-ím 	 mezi-t-í-m
meziříčí 	 mezi-říč-í 	 meziř-íč-í
mečení 	 meč-e-n-í 	 meč-en-í
mikroorganismy 	 mikro-organ-ism-y 	 mikr-o-organ-ism-y
miliarda 	 miliard-a 	 mili-ard-a
minulý 	 min-ul-ý 	 mi-nu-l-ý
mjasisčev 	 mjasisčev 	 mjasisč-ev
mladého 	 mlad-é-ho 	 mlad-ého
mnichově 	 mnichov-ě 	 mnich-ov-ě
moderního 	 modern-í-ho 	 modern-ího
monopolu 	 mon-o-pol-u 	 mono-pol-u
motorlet 	 motor-let 	 motorl-e-t
motorletu 	 motor-let-u 	 motorlet-u
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mužského 	 muž-sk-é-ho 	 muž-sk-ého
mávne 	 máv-n-e 	 máv-ne
médií 	 médi-í 	 méd-i-í
mésti 	 mést-i 	 més-ti
mých 	 m-ý-ch 	 mých
měli 	 mě-l-i 	 m-ě-l-i
měřítka 	 měř-í-tk-a 	 měř-ít-k-a
měřítku 	 měř-í-tk-u 	 měř-ít-k-u
mřížovec 	 mříž-ov-ec 	 mříž-ovec
nabitý 	 na-bi-t-ý 	 na-bit-ý
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 nad-in-divid-u-ál-n-ího
nadějemi 	 na-děj-e-m-i 	 na-dějemi
nadřaděného 	 nad-řad-ěn-é-ho 	 nad-řad-ěn-ého
nadšení 	 na-dš-en-í 	 nad-š-en-í
nadšením 	 na-dš-en-í-m 	 nad-š-en-ím
najatí 	 na-j-a-t-í 	 na-j-at-í
namésti 	 na-mést-i 	 na-més-ti
nebrání 	 ne-brán-í 	 ne-br-á-n-í
nedefinovatelné 	 ne-de-fin-ova-teln-é 	 nede-fin-ova-teln-é
negativními 	 negat-iv-n-ími 	 neg-at-iv-n-ími
neinkasoval 	 ne-in-kas-ova-l 	 ne-inkas-ova-l
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 nejakt-iv-n-ěj-š-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ěj-š-í-m
nejdivočejší 	 nej-div-oč-ej-š-í 	 nej-div-oč-ejš-í
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 nej-krás-n-ěj-š-ích
nejsladšího 	 nej-slad-š-í-ho 	 nej-slad-š-ího
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 nej-vz-dál-en-ějš-í
nejzřetelněji 	 nej-zř-e-tel-n-ěji 	 nej-zř-e-teln-ěji
nejčastějších 	 nej-čast-ěj-š-í-ch 	 nej-čast-ěj-š-ích
nekvete 	 ne-kvet-e 	 ne-kvete
nemálo 	 ne-mál-o 	 ne-m-á-l-o
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-uje-te
nepředepisují 	 ne-přede-pis-uj-í 	 ne-předepis-uj-í
nepředpokládám 	 ne-před-po-klád-á-m 	 ne-před-pokl-á-d-á-m
neumožňuje 	 ne-u-možň-uje 	 ne-u-mož-ň-uje
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-za-měst-n-a-n-ost-i
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-m-ého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-teln-ost
nitěných 	 nit-ěn-ý-ch 	 nit-ěn-ých
norem 	 norem 	 nor-em
nosem 	 nos-e-m 	 nos-em
novinám 	 nov-in-á-m 	 nov-in-ám
nykláku 	 nyklák-u 	 ny-klák-u
nymburka 	 nymburk-a 	 nymbur-k-a
nábytek 	 ná-by-tek 	 ná-byt-ek
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
nás 	 n-á-s 	 nás
nějakém 	 ně-jak-é-m 	 ně-jak-ém
něm 	 n-ě-m 	 n-ěm
obcích 	 obc-ích 	 ob-c-ích
obepnout 	 obe-pn-ou-t 	 obe-p-nou-t
objektem 	 ob-jekt-e-m 	 ob-jekt-em
obor 	 o-bor 	 obor
obzvlášť 	 ob-zvlášť 	 ob-z-vlášť
ochotna 	 ochot-n-a 	 o-chot-n-a
odbytové 	 od-by-t-ov-é 	 od-byt-ov-é
odečte 	 ode-čt-e 	 ode-č-te
odlévání 	 od-lév-á-n-í 	 od-lé-v-á-n-í
odmésti 	 od-mést-i 	 od-més-ti
ohořelému 	 o-hoř-e-l-é-mu 	 o-hoř-e-l-ému
ohřebelcovat 	 o-hřeb-el-c-ova-t 	 o-hřebelc-ova-t
okamžitě 	 ok-a-mžit-ě 	 ok-a-mž-it-ě
olšanech 	 olšan-e-ch 	 olšan-ech
opačném 	 o-pač-n-é-m 	 o-pač-n-ém
oplésti 	 o-plést-i 	 o-plés-ti
opovažuješ 	 o-po-važ-u-j-e-š 	 o-po-važ-uje-š
orchestrem 	 orchestr-e-m 	 orchestr-em
