absolventi 	 ab-solv-ent-i 	 absolvent-i
adami 	 adami 	 ad-ami
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
aloise 	 alois-e 	 aloise
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
architektury 	 archi-tekt-ur-y 	 architekt-ur-y
argaláš 	 argaláš 	 argalá-š
argentiny 	 argentin-y 	 argentiny
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
autorská 	 autor-sk-á 	 aut-or-sk-á
avšak 	 a-však 	 avš-ak
babičku 	 bab-ič-k-u 	 bab-ičk-u
babulakův 	 babulak-ův 	 babul-ak-ův
balený 	 bal-en-ý 	 balen-ý
bezesných 	 beze-sn-ých 	 beze-s-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
budoucím 	 bud-ouc-ím 	 bud-ou-c-ím
budova 	 bud-ova 	 bud-ov-a
budweiserová 	 budweiser-ov-á 	 bud-weiser-ov-á
bulletinu 	 bulletin-u 	 bullet-in-u
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 by-z-nys
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celoživotní 	 cel-o-ži-v-ot-n-í 	 celoživ-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 daktylo-skop-ie
dali 	 d-a-l-i 	 dal-i
dané 	 d-a-n-é 	 dan-é
deklarují 	 de-klar-uj-í 	 deklar-uj-í
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
diplomové 	 diplom-ov-é 	 diplomov-é
disciplíny 	 disciplín-y 	 dis-c-iplín-y
distanční 	 dis-tanč-n-í 	 distanč-n-í
dkp 	 d-k-p 	 dkp
dobrodiní 	 dobr-o-di-n-í 	 dobr-odin-í
dobytek 	 do-byt-ek 	 do-bytek
docentů 	 docent-ů 	 do-cent-ů
dodacích 	 do-d-a-c-ích 	 do-da-c-ích
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
domáknout 	 do-mák-nou-t 	 dom-ák-nou-t
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
dočtete 	 do-čt-e-te 	 do-čt-e-t-e
druhém 	 druh-é-m 	 druh-ém
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-násob-ek
dvouměsíční 	 dv-ou-měsíč-n-í 	 dvou-měsíč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dv-ou-str-a-n-ě
dynamická 	 dynam-ic-k-á 	 dyna-mic-k-á
dynamika 	 dynam-ik-a 	 dyna-mik-a
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
expansion 	 expansion 	 ex-pansion
experimentaci 	 experi-ment-ac-i 	 experiment-ac-i
faktorů 	 fakt-or-ů 	 faktor-ů
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farm-aceut-ick-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finálním 	 fin-ál-n-ím 	 finál-n-í-m
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
fyzický 	 fyz-ic-k-ý 	 fyzi-c-k-ý
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ova-t
graessnerii 	 graessnerii 	 graessner-i-i
haló 	 haló 	 hal-ó
hergot 	 hergot 	 her-got
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschu-l-e
hodnotím 	 hod-n-ot-í-m 	 hod-n-ot-ím
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
honoráře 	 honor-ář-e 	 hono-rář-e
horolezci 	 hor-o-lez-c-i 	 horo-lez-c-i
hry 	 hr-y 	 hry
hudebníci 	 hud-eb-níc-i 	 hud-eb-n-íc-i
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
imigraci 	 i-migr-ac-i 	 imigr-ac-i
improvizovat 	 im-prov-iz-ova-t 	 im-proviz-ova-t
indikátorem 	 in-dik-át-or-em 	 in-dik-átor-em
inzerátech 	 inzer-át-e-ch 	 inzer-át-ech
ivančic 	 ivan-č-ic 	 ivančic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-ob-y
jakého 	 jak-é-ho 	 jak-ého
jednak 	 jednak 	 jedn-ak
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednomotorových 	 jedn-o-motor-ov-ých 	 jedn-o-mot-or-ov-ých
jednoosý 	 jedn-o-os-ý 	 jedn-oos-ý
jednorázové 	 jedn-o-ráz-ov-é 	 jedn-o-ráz-ové
jednotlivina 	 jedn-ot-liv-in-a 	 jedn-ot-livin-a
jedním 	 jedn-í-m 	 jedn-ím
jejích 	 je-j-í-ch 	 jej-ích
jethro 	 jethro 	 jethr-o
jimž 	 j-i-m-ž 	 j-im-ž
jindy 	 jin-d-y 	 jind-y
jinonice 	 jinonic-e 	 jinon-ic-e
jmenují 	 jmen-u-j-í 	 jmen-uj-í
jídlo 	 jí-dl-o 	 jídlo
kanadou 	 kanad-ou 	 kana-d-ou
kapely 	 kapel-y 	 kap-el-y
katalozích 	 kata-loz-ích 	 kataloz-ích
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kd-o-víkd-o
kdož 	 kdo-ž 	 k-d-o-ž
klesne 	 kles-ne 	 kles-n-e
kliniky 	 klinik-y 	 klin-ik-y
klášterem 	 klášter-e-m 	 klášter-em
koho 	 k-o-ho 	 k-oho
kompetence 	 kompetenc-e 	 kompet-enc-e
komu 	 k-o-mu 	 k-omu
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontilití 	 konti-li-t-í 	 kontil-it-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontraind-ik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontrolor-ů
konviktem 	 kon-vikt-e-m 	 konvikt-em
kosmického 	 kosm-ic-k-é-ho 	 kosm-ick-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
koupací 	 koup-ac-í 	 koup-a-c-í
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
krakově 	 krakov-ě 	 krak-ov-ě
krumlesco 	 krumlesco 	 kruml-es-c-o
krásným 	 krás-n-ý-m 	 krás-n-ým
kterého 	 kter-é-ho 	 kter-ého
kunovice 	 kun-ovic-e 	 kunov-ic-e
kuponové 	 kupon-ov-é 	 ku-pon-ov-é
kyčel 	 kyčel 	 kyče-l
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 kř-í-dl-em
kůzlátek 	 kůzl-át-ek 	 kůzlát-ek
lehkým 	 leh-k-ý-m 	 leh-k-ým
lesním 	 les-n-ím 	 les-n-í-m
lhostejnět 	 lhostej-n-ě-t 	 lhostejn-ě-t
lidem 	 lid-e-m 	 lid-em
