absolventi 	 ab-solv-ent-i 	 absolvent-i
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
antala 	 antal-a 	 ant-a-l-a
argaláš 	 argaláš 	 argal-á-š
argentiny 	 argentin-y 	 argent-in-y
asistentů 	 asist-ent-ů 	 asistent-ů
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
autorská 	 autor-sk-á 	 autorsk-á
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
bania 	 bani-a 	 bania
bankovním 	 bank-ovn-ím 	 bank-ovn-í-m
baťa 	 bať-a 	 baťa
bezesných 	 beze-sn-ých 	 bezes-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
budoucím 	 bud-ouc-ím 	 bud-ouc-í-m
budova 	 bud-ova 	 bud-ov-a
bulletinu 	 bulletin-u 	 bullet-in-u
bych 	 by-ch 	 bych
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 byzn-ys
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celníky 	 cel-n-ík-y 	 cel-ník-y
celoživotní 	 cel-o-ži-v-ot-n-í 	 celož-i-v-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chcete 	 chc-e-te 	 chce-te
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
daklar 	 daklar 	 da-klar
daktyloskopie 	 daktylo-skopi-e 	 daktylo-skop-i-e
dana 	 dan-a 	 d-a-n-a
dané 	 d-a-n-é 	 dan-é
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
delší 	 del-š-í 	 delš-í
distanční 	 dis-tanč-n-í 	 dist-anč-n-í
divoši 	 div-oš-i 	 div-oši
dkp 	 d-k-p 	 dkp
dobrodiní 	 dobr-o-di-n-í 	 dobr-od-in-í
docentů 	 docent-ů 	 do-cent-ů
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
domáknout 	 do-mák-nou-t 	 dom-ák-nou-t
doplacení 	 do-plac-en-í 	 do-plac-e-n-í
dozvíte 	 do-z-v-í-te 	 do-zví-te
druhém 	 druh-é-m 	 druh-ém
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-ná-sob-ek
dvoustraně 	 dv-ou-stran-ě 	 dv-ou-str-a-n-ě
dynamická 	 dynam-ic-k-á 	 dynamic-k-á
dynamika 	 dynam-ik-a 	 dyna-mik-a
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
ekologické 	 eko-log-ick-é 	 eko-log-ic-k-é
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
eva 	 ev-a 	 eva
expansion 	 expansion 	 ex-pansion
faktorů 	 fakt-or-ů 	 faktor-ů
faktury 	 fakt-ur-y 	 fak-tur-y
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finesami 	 fines-ami 	 finesami
finálním 	 fin-ál-n-ím 	 finál-n-í-m
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
fyzický 	 fyz-ic-k-ý 	 fyzi-c-k-ý
gestikulovat 	 gestik-ul-ova-t 	 gest-ikul-ova-t
graessnerii 	 graessnerii 	 graessneri-i
halu 	 hal-u 	 halu
haló 	 haló 	 hal-ó
hergot 	 hergot 	 her-got
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschul-e
hodnotím 	 hod-n-ot-í-m 	 hod-n-ot-ím
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horolezci 	 hor-o-lez-c-i 	 horolez-c-i
horynových 	 horyn-ov-ých 	 hor-yn-ov-ých
houston 	 houston 	 houst-on
hra 	 hr-a 	 hra
hromková 	 hrom-k-ov-á 	 hromk-ov-á
hry 	 hr-y 	 hry
hudebníci 	 hud-eb-níc-i 	 hud-eb-n-íc-i
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
imigraci 	 i-migr-ac-i 	 imigr-ac-i
indikátorem 	 in-dik-át-or-em 	 indik-át-or-em
invalidní 	 in-valid-n-í 	 invalid-n-í
inzerátech 	 inzer-át-e-ch 	 inzerát-ech
inženýrském 	 inženýr-sk-ém 	 inžen-ýr-sk-ém
ivančic 	 ivan-č-ic 	 ivan-čic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-ob-y
jakého 	 jak-é-ho 	 jak-ého
janků 	 jan-k-ů 	 jank-ů
javelin 	 javelin 	 javel-in
jednak 	 jednak 	 jedn-ak
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednoosý 	 jedn-o-os-ý 	 jedn-oos-ý
jednotlivina 	 jedn-ot-liv-in-a 	 jedn-ot-l-iv-in-a
jedním 	 jedn-í-m 	 jedn-ím
jejích 	 je-j-í-ch 	 jej-ích
jethro 	 jethro 	 jethr-o
jimž 	 j-i-m-ž 	 j-im-ž
jmenují 	 jmen-u-j-í 	 jmen-uj-í
kapesníček 	 kapes-níč-ek 	 kapes-níček
kardašovy 	 kardašov-y 	 kardaš-ov-y
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kd-o-víkd-o
kdož 	 kdo-ž 	 kd-o-ž
klesne 	 kles-ne 	 kles-n-e
kliniky 	 klinik-y 	 klin-ik-y
klášterem 	 klášter-e-m 	 klášter-em
koho 	 k-o-ho 	 koho
komu 	 k-o-mu 	 k-omu
koncipováním 	 kon-cip-ová-n-ím 	 koncip-ová-n-ím
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontilití 	 konti-li-t-í 	 kontilit-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontraindik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontrolor-ů
konviktem 	 kon-vikt-e-m 	 konvikt-em
kosmického 	 kosm-ic-k-é-ho 	 kosm-ick-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
koupací 	 koup-ac-í 	 koup-a-c-í
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
krakově 	 krakov-ě 	 krak-ov-ě
krumlesco 	 krumlesco 	 kruml-es-c-o
krádeže 	 krád-ež-e 	 krád-eže
krásným 	 krás-n-ý-m 	 krás-n-ým
kterého 	 kter-é-ho 	 kter-ého
kunovice 	 kun-ovic-e 	 kun-ov-ic-e
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 křídl-em
lavina 	 lav-in-a 	 lavin-a
lavírovat 	 lav-ír-ova-t 	 lavír-ova-t
ledna 	 led-n-a 	 ledn-a
lehkým 	 leh-k-ý-m 	 leh-k-ým
lesním 	 les-n-ím 	 les-n-í-m
lhostejnět 	 lhostej-n-ě-t 	 lhostejn-ě-t
lidem 	 lid-e-m 	 lid-em
limit 	 limit 	 lim-i-t
loupežníkem 	 loup-ež-n-ík-e-m 	 loup-ež-n-ík-em
ltd 	 l-t-d 	 ltd
luděk 	 luděk 	 lud-ěk
lukách 	 luk-á-ch 	 luk-ách
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
lékárnám 	 lék-ár-n-ám 	 lék-ár-n-á-m
maiden 	 maid-en 	 maiden
maličkosti 	 mal-ič-k-ost-i 	 mal-ičk-ost-i
maličký 	 mal-ič-k-ý 	 mal-ičk-ý
malkovského 	 malkovsk-ého 	 malk-ov-sk-ého
manager 	 manag-er 	 manager
manažerovi 	 manažer-ovi 	 manaž-er-ovi
manýrám 	 manýr-á-m 	 manýr-ám
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
materialisty 	 mater-i-al-ist-y 	 materi-al-ist-y
materiálové 	 materi-ál-ov-é 	 mater-iál-ov-é
materiálu 	 mater-i-ál-u 	 materi-ál-u
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyz-ic-k-ých
metodologicky 	 metodo-log-ic-k-y 	 metod-o-log-ick-y
meziříčí 	 mezi-říč-í 	 meziř-íč-í
mečení 	 meč-e-n-í 	 meč-en-í
miliarda 	 miliard-a 	 mili-ard-a
milostpane 	 mil-ost-pan-e 	 mil-ostpa-n-e
minulý 	 min-ul-ý 	 mi-nu-l-ý
mladého 	 mlad-é-ho 	 mlad-ého
moderního 	 modern-í-ho 	 modern-ího
monopolu 	 mon-o-pol-u 	 mono-pol-u
motorlet 	 motor-let 	 motorl-e-t
motorletu 	 motor-let-u 	 motorl-et-u
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mužského 	 muž-sk-é-ho 	 muž-sk-ého
mávne 	 máv-n-e 	 máv-ne
média 	 médi-a 	 méd-i-a
médií 	 médi-í 	 méd-i-í
mésti 	 mést-i 	 més-ti
mých 	 m-ý-ch 	 mých
měli 	 mě-l-i 	 m-ě-l-i
měřítka 	 měř-í-tk-a 	 měř-ít-k-a
měřítku 	 měř-í-tk-u 	 měř-ít-k-u
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 nad-in-divid-u-ál-n-ího
nadějemi 	 na-děj-e-m-i 	 na-dě-jemi
nadřaděného 	 nad-řad-ěn-é-ho 	 nad-řad-ěn-ého
nadšení 	 na-dš-en-í 	 nad-š-en-í
nadšením 	 na-dš-en-í-m 	 nad-š-en-ím
najatí 	 na-j-a-t-í 	 na-j-at-í
namésti 	 na-mést-i 	 na-més-ti
nebrání 	 ne-brán-í 	 ne-br-á-n-í
nedaleko 	 ne-dal-ek-o 	 ne-da-l-ek-o
negativními 	 negat-iv-n-ími 	 neg-at-iv-n-ími
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 nejakt-iv-n-ěj-š-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ěj-š-í-m
nejdivočejší 	 nej-div-oč-ej-š-í 	 nej-div-oč-ejš-í
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 nej-krás-n-ěj-š-ích
nejpovolanějšímu 	 nej-po-vol-a-n-ějš-ímu 	 nej-po-vola-n-ěj-š-ímu
nejsladšího 	 nej-slad-š-í-ho 	 nej-slad-š-ího
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 nej-vz-dál-en-ějš-í
nejzřetelněji 	 nej-zř-e-tel-n-ěji 	 nej-zř-e-teln-ěji
nejčastějších 	 nej-čast-ěj-š-í-ch 	 nej-čast-ěj-š-ích
nekvete 	 ne-kvet-e 	 ne-kve-te
nelidské 	 ne-lid-sk-é 	 nelid-sk-é
nemálo 	 ne-mál-o 	 ne-m-á-l-o
neměly 	 ne-m-ě-l-y 	 ne-mě-l-y
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-uje-te
nepředepisují 	 ne-přede-pis-uj-í 	 ne-před-epis-uj-í
nepředpokládám 	 ne-před-po-klád-á-m 	 ne-před-p-o-kl-ád-ám
nereálný 	 ne-reál-n-ý 	 nere-ál-n-ý
neumožňuje 	 ne-u-možň-uje 	 ne-u-mož-ň-uje
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-za-měst-n-a-n-osti
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-m-ého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-teln-ost
nitěných 	 nit-ěn-ý-ch 	 nit-ěn-ých
norem 	 norem 	 nor-em
nosem 	 nos-e-m 	 nos-em
nula 	 nul-a 	 nu-l-a
nykláku 	 nyklák-u 	 ny-kl-ák-u
nymburka 	 nymburk-a 	 nymbur-k-a
nábytek 	 ná-by-tek 	 ná-byt-ek
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
nějakém 	 ně-jak-é-m 	 ně-jak-ém
něm 	 n-ě-m 	 n-ěm
obepnout 	 obe-pn-ou-t 	 obe-p-nou-t
obeznámit 	 obe-znám-i-t 	 obe-zn-ám-i-t
objektem 	 ob-jekt-e-m 	 ob-jekt-em
obor 	 o-bor 	 obor
obzvlášť 	 ob-zvlášť 	 obz-vlášť
ochotna 	 ochot-n-a 	 o-chot-n-a
odečte 	 ode-čt-e 	 odeč-te
odlévání 	 od-lév-á-n-í 	 od-lé-v-á-n-í
odmésti 	 od-mést-i 	 od-més-ti
ohořelému 	 o-hoř-e-l-é-mu 	 o-hoř-e-l-ému
ohřebelcovat 	 o-hřeb-el-c-ova-t 	 o-hřebelc-ova-t
okamžitě 	 ok-a-mžit-ě 	 ok-a-mž-it-ě
olšanech 	 olšan-e-ch 	 olšan-ech
omegou 	 omeg-ou 	 o-meg-ou
opačném 	 o-pač-n-é-m 	 o-pač-n-ém
oplésti 	 o-plést-i 	 o-plés-ti
opovažuješ 	 o-po-važ-u-j-e-š 	 o-po-važ-uje-š
orchestrem 	 orchestr-e-m 	 orchestr-em
