absolventi 	 ab-solv-ent-i 	 absolvent-i
adaptabilní 	 adapt-abil-n-í 	 adaptab-il-n-í
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
antala 	 antal-a 	 anta-l-a
architektury 	 archi-tekt-ur-y 	 archi-tektury
argaláš 	 argaláš 	 argal-áš
argentiny 	 argentin-y 	 argent-in-y
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
autorská 	 autor-sk-á 	 aut-or-sk-á
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
bania 	 bani-a 	 bania
bankovním 	 bank-ovn-ím 	 bank-ovn-í-m
bezesných 	 beze-sn-ých 	 bezes-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
bolení 	 bol-e-n-í 	 bol-en-í
budoucím 	 bud-ouc-ím 	 bud-ou-c-ím
budova 	 bud-ova 	 bud-ov-a
bulletinu 	 bulletin-u 	 bullet-in-u
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 by-znys
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celoživotní 	 cel-o-ži-v-ot-n-í 	 celož-iv-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cimrmanovština 	 cimrman-ov-št-in-a 	 cimrman-ov-št-ina
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
deklarují 	 de-klar-uj-í 	 deklar-uj-í
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
delší 	 del-š-í 	 delš-í
disciplíny 	 disciplín-y 	 dis-ciplín-y
distanční 	 dis-tanč-n-í 	 distanč-n-í
dkp 	 d-k-p 	 dkp
dobrodiní 	 dobr-o-di-n-í 	 dob-rod-in-í
docentů 	 docent-ů 	 do-cent-ů
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
druhém 	 druh-é-m 	 druh-ém
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-ná-sob-ek
dvouměsíční 	 dv-ou-měsíč-n-í 	 dvou-měsíč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dv-ou-str-an-ě
dynamická 	 dynam-ic-k-á 	 dynamic-k-á
dynamika 	 dynam-ik-a 	 dynamik-a
dálkové 	 dál-k-ov-é 	 dálk-ov-é
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
dřevěný 	 dřev-ě-n-ý 	 dřev-ěn-ý
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
epocha 	 epoch-a 	 epo-ch-a
faktorů 	 fakt-or-ů 	 faktor-ů
faktury 	 fakt-ur-y 	 faktur-y
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finálním 	 fin-ál-n-ím 	 finál-n-í-m
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
fyzický 	 fyz-ic-k-ý 	 fyzi-c-k-ý
fólie 	 fóli-e 	 fól-i-e
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ova-t
graessnerii 	 graessnerii 	 graessneri-i
haló 	 haló 	 hal-ó
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschul-e
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horolezci 	 hor-o-lez-c-i 	 horo-lez-c-i
hra 	 hr-a 	 hra
hromková 	 hrom-k-ov-á 	 hromk-ov-á
hry 	 hr-y 	 hry
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
imigraci 	 i-migr-ac-i 	 imigr-ac-i
inaugurován 	 inaugur-ová-n 	 inaugur-ov-á-n
indikátorem 	 in-dik-át-or-em 	 indik-átor-em
inspektor 	 in-spekt-or 	 in-spek-t-or
inzerátech 	 inzer-át-e-ch 	 inzerát-ech
inženýrském 	 inženýr-sk-ém 	 inžen-ýr-sk-ém
ivančic 	 ivan-č-ic 	 ivančic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-ob-y
jakého 	 jak-é-ho 	 jak-ého
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednoosý 	 jedn-o-os-ý 	 jedn-oos-ý
jednotlivina 	 jedn-ot-liv-in-a 	 jedn-ot-l-ivina
jedním 	 jedn-í-m 	 jedn-ím
jejích 	 je-j-í-ch 	 jej-ích
jeseníkách 	 jesen-ík-ách 	 jeseník-ách
jethro 	 jethro 	 jethr-o
jimž 	 j-i-m-ž 	 j-im-ž
jindy 	 jin-d-y 	 jind-y
jmenují 	 jmen-u-j-í 	 jmen-uj-í
jídlo 	 jí-dl-o 	 jíd-l-o
kapacity 	 kapacit-y 	 kapac-it-y
kapli 	 kapl-i 	 kap-l-i
kasernovat 	 kasern-ova-t 	 kaser-n-ova-t
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kd-o-víkd-o
kdož 	 kdo-ž 	 kd-o-ž
klesne 	 kles-ne 	 klesn-e
klášterem 	 klášter-e-m 	 klášter-em
knížete 	 kníž-et-e 	 kníž-e-t-e
koho 	 k-o-ho 	 k-oho
kompetenci 	 kompet-enc-i 	 kompetenc-i
komu 	 k-o-mu 	 k-omu
konceptem 	 koncept-em 	 kon-cept-em
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontilití 	 konti-li-t-í 	 kontilit-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontraindik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontro-lor-ů
konviktem 	 kon-vikt-e-m 	 konvikt-em
kosmického 	 kosm-ic-k-é-ho 	 kosm-ick-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
koupací 	 koup-ac-í 	 koup-a-c-í
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
krakově 	 krakov-ě 	 krak-ov-ě
krumlesco 	 krumlesco 	 krumlesc-o
krumlova 	 krumlov-a 	 kruml-ov-a
krytý 	 kry-t-ý 	 kryt-ý
krádeže 	 krád-ež-e 	 krád-e-že
krásným 	 krás-n-ý-m 	 krás-n-ým
kterého 	 kter-é-ho 	 kter-ého
kunovice 	 kun-ovic-e 	 kunov-ic-e
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 křídl-em
kůzlátek 	 kůzl-át-ek 	 kůzlát-ek
lavina 	 lav-in-a 	 lavin-a
lavírovat 	 lav-ír-ova-t 	 lavír-ova-t
lehkým 	 leh-k-ý-m 	 leh-k-ým
lesním 	 les-n-ím 	 les-n-í-m
lidem 	 lid-e-m 	 lid-em
limit 	 limit 	 lim-i-t
loupežníkem 	 loup-ež-n-ík-e-m 	 loup-ež-n-ík-em
ltd 	 l-t-d 	 ltd
lukách 	 luk-á-ch 	 luk-ách
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
lístek 	 líst-ek 	 lístek
maiden 	 maid-en 	 maiden
maličkosti 	 mal-ič-k-ost-i 	 mal-ičk-ost-i
maličký 	 mal-ič-k-ý 	 mal-ičk-ý
malkovského 	 malkovsk-ého 	 malk-ov-sk-ého
manager 	 manag-er 	 manager
manažerovi 	 manažer-ovi 	 manaž-er-ovi
manýrám 	 manýr-á-m 	 manýr-ám
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
materialisty 	 mater-i-al-ist-y 	 materi-al-ist-y
materiálové 	 materi-ál-ov-é 	 materiál-ov-é
materiálu 	 mater-i-ál-u 	 materi-ál-u
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyz-ic-k-ých
metodologicky 	 metodo-log-ic-k-y 	 metod-o-log-ick-y
mezitím 	 mezi-t-ím 	 mezit-í-m
meziříčí 	 mezi-říč-í 	 meziříč-í
mečení 	 meč-e-n-í 	 meč-en-í
mikroorganismy 	 mikro-organ-ism-y 	 mikroorgan-ism-y
miliarda 	 miliard-a 	 mili-ard-a
milostpane 	 mil-ost-pan-e 	 mil-ostpa-ne
minulý 	 min-ul-ý 	 mi-nu-l-ý
mjasisčev 	 mjasisčev 	 mjasisč-ev
mladého 	 mlad-é-ho 	 mlad-ého
moderního 	 modern-í-ho 	 modern-ího
monopolu 	 mon-o-pol-u 	 mono-pol-u
motivací 	 motiv-ac-í 	 motiv-a-c-í
motorlet 	 motor-let 	 motorl-e-t
motorletu 	 motor-let-u 	 motorlet-u
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mužského 	 muž-sk-é-ho 	 muž-sk-ého
mávne 	 máv-n-e 	 máv-ne
médií 	 médi-í 	 méd-i-í
mésti 	 mést-i 	 més-ti
mých 	 m-ý-ch 	 m-ých
měli 	 mě-l-i 	 m-ě-l-i
měřítka 	 měř-í-tk-a 	 měř-í-t-k-a
měřítku 	 měř-í-tk-u 	 měřít-k-u
nabitý 	 na-bi-t-ý 	 na-bit-ý
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 nad-in-divid-u-ál-n-ího
nadějemi 	 na-děj-e-m-i 	 na-děj-emi
nadřaděného 	 nad-řad-ěn-é-ho 	 nad-řad-ěn-ého
nadšení 	 na-dš-en-í 	 nad-š-en-í
nadšením 	 na-dš-en-í-m 	 nadš-en-ím
najatí 	 na-j-a-t-í 	 na-jat-í
namésti 	 na-mést-i 	 na-més-ti
nebrání 	 ne-brán-í 	 ne-br-á-n-í
nedefinovatelné 	 ne-de-fin-ova-teln-é 	 ne-defin-ova-teln-é
nedávna 	 ne-dávn-a 	 ne-dáv-n-a
neinkasoval 	 ne-in-kas-ova-l 	 ne-inkas-ova-l
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 ne-jakt-iv-n-ěj-š-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ěj-š-ím
nejdivočejší 	 nej-div-oč-ej-š-í 	 nej-div-oč-ejš-í
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 nej-krás-n-ěj-š-ích
nejsladšího 	 nej-slad-š-í-ho 	 nej-slad-š-ího
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 nej-vz-dál-en-ějš-í
nejvzácnější 	 nej-vzácn-ějš-í 	 nej-vzác-n-ěj-š-í
nejzřetelněji 	 nej-zř-e-tel-n-ěji 	 nej-zř-e-teln-ěji
nejčastějších 	 nej-čast-ěj-š-í-ch 	 nej-čast-ěj-š-ích
nekvete 	 ne-kvet-e 	 ne-kve-te
nemálo 	 ne-mál-o 	 ne-má-l-o
neodpovídající 	 ne-od-po-víd-aj-íc-í 	 ne-od-po-víd-aj-ící
nepolemizujme 	 ne-polem-iz-uj-me 	 ne-polemiz-uj-me
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-uje-te
nepředepisují 	 ne-přede-pis-uj-í 	 ne-pře-d-epis-uj-í
nepředpokládám 	 ne-před-po-klád-á-m 	 ne-před-po-kládám
nepřesných 	 ne-přesn-ých 	 ne-přes-n-ých
nereálný 	 ne-reál-n-ý 	 nereál-n-ý
neumožňuje 	 ne-u-možň-uje 	 ne-u-mož-ň-uje
nevysvětlíš 	 ne-vy-svět-l-í-š 	 ne-vy-svět-lí-š
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-za-měst-n-a-n-osti
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čí-n-ej
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-m-ého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-teln-ost
nitěných 	 nit-ěn-ý-ch 	 nit-ěn-ých
norem 	 norem 	 nor-em
nosem 	 nos-e-m 	 nos-em
novinám 	 nov-in-á-m 	 nov-in-ám
nykláku 	 nyklák-u 	 ny-klák-u
nymburka 	 nymburk-a 	 nymbur-k-a
nábytek 	 ná-by-tek 	 ná-byt-ek
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
nás 	 n-á-s 	 n-ás
nějakém 	 ně-jak-é-m 	 ně-jak-ém
něm 	 n-ě-m 	 n-ěm
obepnout 	 obe-pn-ou-t 	 obe-p-nou-t
objektem 	 ob-jekt-e-m 	 ob-jek-t-em
obor 	 o-bor 	 ob-or
obrat 	 o-br-a-t 	 obr-a-t
obzvlášť 	 ob-zvlášť 	 obzvl-ášť
občanského 	 obč-an-sk-ého 	 ob-čan-sk-ého
odborníky 	 od-bor-n-ík-y 	 od-bor-ník-y
odečte 	 ode-čt-e 	 ode-č-te
odlévání 	 od-lév-á-n-í 	 od-lé-v-á-n-í
odmésti 	 od-mést-i 	 od-més-ti
odsouvací 	 od-souv-a-c-í 	 od-sou-v-a-c-í
odst 	 od-st 	 odst
ohořelému 	 o-hoř-e-l-é-mu 	 o-hoř-e-l-ému
ohřebelcovat 	 o-hřeb-el-c-ova-t 	 o-hřeb-elc-ova-t
