absolventi 	 ab-solv-ent-i 	 absolvent-i
adami 	 adami 	 ad-ami
adaptabilní 	 adapt-abil-n-í 	 ada-pt-abil-n-í
adresátů 	 adres-át-ů 	 adresát-ů
albigenský 	 albigen-sk-ý 	 albig-en-sk-ý
alfou 	 alf-ou 	 alfou
aloise 	 alois-e 	 aloise
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
antala 	 antal-a 	 anta-l-a
argaláš 	 argaláš 	 argal-á-š
argentiny 	 argentin-y 	 argent-in-y
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
atamanem 	 ataman-e-m 	 ataman-em
atlet 	 atlet 	 atle-t
automobilka 	 automobil-k-a 	 aut-o-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
babulakův 	 babulak-ův 	 babul-ak-ův
bania 	 bani-a 	 bania
bankovním 	 bank-ovn-ím 	 bank-ov-n-í-m
barikádovat 	 barik-ád-ova-t 	 barikád-ova-t
betlémské 	 betlém-sk-é 	 bet-lém-sk-é
bezesných 	 beze-sn-ých 	 beze-s-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
bojíme 	 boj-í-me 	 bo-j-í-me
božínku 	 bož-ín-k-u 	 božín-k-u
budova 	 bud-ova 	 bud-ov-a
budweiserová 	 budweiser-ov-á 	 bud-weiser-ov-á
bulletinu 	 bulletin-u 	 bul-let-in-u
byznys 	 byznys 	 by-zn-y-s
běláskové 	 běl-ás-k-ové 	 běl-ás-k-ov-é
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celoživotní 	 cel-o-ži-v-ot-n-í 	 celož-i-v-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chcete 	 chc-e-te 	 chce-te
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 daktylo-skop-i-e
dané 	 d-a-n-é 	 dan-é
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
denním 	 den-n-í-m 	 den-n-ím
devizové 	 deviz-ov-é 	 de-viz-ov-é
devět 	 devět 	 devě-t
disciplíny 	 disciplín-y 	 dis-ciplín-y
distanční 	 dis-tanč-n-í 	 dist-anč-n-í
dkp 	 d-k-p 	 dk-p
dobrodiní 	 dobr-o-di-n-í 	 dobrod-in-í
dobytí 	 do-by-tí 	 do-by-t-í
docentů 	 docent-ů 	 do-cent-ů
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
domáknout 	 do-mák-nou-t 	 domák-nou-t
dosvědčíme 	 do-s-věd-č-í-me 	 do-svěd-č-í-me
dozvíte 	 do-z-v-í-te 	 do-zví-te
dočtete 	 do-čt-e-te 	 do-čt-ete
druhém 	 druh-é-m 	 druh-ém
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-násob-ek
dvojí 	 dv-oj-í 	 dvoj-í
dvouměsíční 	 dv-ou-měsíč-n-í 	 dvou-měsíč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dvou-stran-ě
dynamická 	 dynam-ic-k-á 	 dynamic-k-á
dynamika 	 dynam-ik-a 	 dynamik-a
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
děti 	 dět-i 	 dě-ti
dřeně 	 dřen-ě 	 dře-n-ě
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
důkladněji 	 dů-klad-n-ěji 	 dů-klad-n-ěj-i
ekologické 	 eko-log-ick-é 	 eko-log-ic-k-é
ekologického 	 eko-log-ick-ého 	 eko-log-ic-k-ého
ekonomech 	 eko-nom-ech 	 eko-n-om-ech
ekonomickou 	 eko-nom-ick-ou 	 eko-nom-ic-k-ou
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
energie 	 energ-i-e 	 energ-ie
expansion 	 expansion 	 ex-pansion
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
farmě 	 farm-ě 	 farmě
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finesami 	 fines-ami 	 fines-am-i
finálním 	 fin-ál-n-ím 	 fin-ál-n-í-m
fondem 	 fondem 	 fond-em
fyzický 	 fyz-ic-k-ý 	 fyzi-c-k-ý
gestikulovat 	 gestik-ul-ova-t 	 gest-ikul-ova-t
graessnerii 	 graessnerii 	 graessneri-i
haló 	 haló 	 hal-ó
hematologického 	 hemat-o-log-ick-ého 	 hemat-o-log-ic-k-ého
hergot 	 hergot 	 her-got
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschul-e
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horolezci 	 hor-o-lez-c-i 	 horo-lez-c-i
hra 	 hr-a 	 hra
hroznou 	 hrozn-ou 	 hroz-n-ou
hudebníci 	 hud-eb-níc-i 	 hud-eb-n-íc-i
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
imigraci 	 i-migr-ac-i 	 i-migrac-i
improvizovat 	 im-prov-iz-ova-t 	 im-proviz-ova-t
indikátorem 	 in-dik-át-or-em 	 indikátor-em
inovace 	 inov-ace 	 inovace
instrumentovat 	 instrument-ova-t 	 instru-ment-ova-t
invalidní 	 in-valid-n-í 	 invalid-n-í
inzerátech 	 inzer-át-e-ch 	 inzer-át-ech
inženýrském 	 inženýr-sk-ém 	 inžen-ýr-sk-ém
ivančic 	 ivan-č-ic 	 ivančic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-ob-y
jakého 	 jak-é-ho 	 jak-ého
janků 	 jan-k-ů 	 jank-ů
javelin 	 javelin 	 javel-in
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednom 	 jedn-o-m 	 jedn-om
jednomotorových 	 jedn-o-motor-ov-ých 	 jedn-omotor-ov-ých
jednoosý 	 jedn-o-os-ý 	 jedn-oos-ý
jedním 	 jedn-í-m 	 jedn-ím
jejích 	 je-j-í-ch 	 jej-ích
jimž 	 j-i-m-ž 	 j-im-ž
jindy 	 jin-d-y 	 jind-y
jinonice 	 jinonic-e 	 jinon-ic-e
jmenují 	 jmen-u-j-í 	 jmen-uj-í
kapli 	 kapl-i 	 kap-l-i
kardašovy 	 kardašov-y 	 kardaš-ov-y
kasernovat 	 kasern-ova-t 	 kaser-n-ova-t
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
kavkám 	 kav-k-ám 	 kav-k-á-m
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kd-o-víkd-o
kličky 	 klič-k-y 	 kličk-y
klášterem 	 klášter-e-m 	 klášter-em
knížete 	 kníž-et-e 	 kníž-e-t-e
koho 	 k-o-ho 	 koho
kompetenci 	 kompet-enc-i 	 kompetenc-i
komu 	 k-o-mu 	 komu
konceptem 	 koncept-em 	 kon-cept-em
kondenzátor 	 kondenz-átor 	 kon-denz-átor
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontilití 	 konti-li-t-í 	 kontilit-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontraindik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontrolor-ů
kontroloři 	 kontrol-oř-i 	 kontro-loř-i
konviktem 	 kon-vikt-e-m 	 konvikt-em
