absolventi 	 ab-solv-ent-i 	 absolvent-i
achronisticky 	 a-chron-ist-ic-k-y 	 achronistick-y
adaptabilní 	 adapt-abil-n-í 	 adaptabiln-í
adresátů 	 adres-át-ů 	 adresát-ů
advokát 	 advok-át 	 ad-vokát
aktivitami 	 akt-iv-it-ami 	 aktivit-ami
aktovce 	 akt-ov-c-e 	 akt-ovc-e
aktuálního 	 akt-uál-n-ího 	 aktuál-ního
albigenský 	 albigen-sk-ý 	 albigensk-ý
amerikanismem 	 amerik-an-ism-e-m 	 amerikan-ism-em
amerikánská 	 amerik-án-sk-á 	 amerikán-sk-á
anatólii 	 anatól-i-i 	 anatóli-i
anglii 	 angl-i-i 	 angl-ii
anglosaskou 	 angl-o-sas-k-ou 	 angl-osas-k-ou
antala 	 antal-a 	 anta-la
architektury 	 archi-tekt-ur-y 	 architekt-ur-y
argentiny 	 argentin-y 	 argent-in-y
armáda 	 armád-a 	 armáda
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
asistentů 	 asist-ent-ů 	 asistent-ů
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
autorská 	 autor-sk-á 	 aut-orsk-á
avšak 	 a-však 	 avšak
axiomy 	 axiom-y 	 axiomy
babičku 	 bab-ič-k-u 	 bab-ičku
badenu 	 baden-u 	 badenu
bakalářském 	 bakalář-sk-ém 	 bakalářském
balený 	 bal-en-ý 	 balený
balených 	 bal-en-ých 	 balených
bankovek 	 bank-ovek 	 bankovek
bankovním 	 bank-ovn-ím 	 bank-ovním
barona 	 baron-a 	 barona
benzylchorid 	 benz-yl-chor-id 	 benzyl-chor-id
berehovsky 	 bereh-ov-sk-y 	 berehovsk-y
betlémské 	 betlém-sk-é 	 betlémsk-é
bezchybný 	 bez-chyb-n-ý 	 bez-chybn-ý
bezesných 	 beze-sn-ých 	 bezes-n-ých
bezpředpokladová 	 bez-před-po-klad-ov-á 	 bez-předpo-klad-ová
bionaftu 	 bio-naft-u 	 bionaft-u
biřmovat 	 biřm-ova-t 	 biřm-ovat
blafat 	 blaf-a-t 	 blaf-at
blahopřejeme 	 blah-o-pře-je-me 	 blah-opřeje-me
blechu 	 blech-u 	 blechu
blekotat 	 blek-ot-a-t 	 blek-ot-at
bližší 	 bliž-š-í 	 bližší
bloku 	 blok-u 	 bloku
bloumat 	 bloum-a-t 	 bloum-at
bludišti 	 blud-išt-i 	 blud-išti
bodiny 	 bod-in-y 	 bod-iny
božínku 	 bož-ín-k-u 	 božínku
brankář 	 bran-k-ář 	 brank-ář
britští 	 brit-št-í 	 britšt-í
bráchův 	 brách-ův 	 bráchův
buchnout 	 buch-nou-t 	 buch-nout
budiáf 	 budiáf 	 bud-iáf
budoucnosti 	 bud-ou-c-n-ost-i 	 bud-ouc-n-ost-i
budoucím 	 bud-ouc-ím 	 budoucím
budweiserová 	 budweiser-ov-á 	 bud-weiserov-á
bulletinu 	 bulletin-u 	 bullet-in-u
bums 	 bums 	 bum-s
bych 	 by-ch 	 bych
byznys 	 byznys 	 by-znys
bít 	 bí-t 	 bít
bývávaly 	 bý-v-á-v-a-l-y 	 býv-áva-ly
běláskové 	 běl-ás-k-ové 	 běláskové
běžně 	 běž-ně 	 běž-n-ě
běží 	 běž-í 	 běží
břežský 	 břež-sk-ý 	 břežský
bříško 	 bříš-k-o 	 bříško
celkové 	 cel-k-ov-é 	 cel-k-ové
celníky 	 cel-n-ík-y 	 celníky
celoživotní 	 cel-o-ži-v-ot-n-í 	 celoži-vot-n-í
cenovky 	 cen-ovk-y 	 cenov-k-y
ceník 	 cen-ík 	 ceník
cestující 	 cest-uj-í-c-í 	 cestuj-ící
chcíplá 	 chcíp-l-á 	 chcíplá
chlapec 	 chlap-ec 	 chlapec
chlapy 	 chlap-y 	 chlapy
chlapík 	 chlap-ík 	 chlapík
chromou 	 chrom-ou 	 chromou
chrstat 	 chrst-a-t 	 chrsta-t
chráněných 	 chrán-ěn-ých 	 chrán-ěných
chtěli 	 cht-ě-l-i 	 cht-ě-li
chudší 	 chud-š-í 	 chud-ší
chutnání 	 chut-n-á-n-í 	 chut-n-á-ní
chvalořečit 	 chval-o-řeč-i-t 	 chvalo-řeč-i-t
chvílích 	 chvíl-í-ch 	 chvíl-ích
chybějící 	 chyb-ěj-íc-í 	 chyb-ějící
chyběl 	 chyb-ě-l 	 chyběl
chystané 	 chyst-a-n-é 	 chysta-n-é
