absolventi 	 ab-solv-ent-i 	 absolvent-i
adami 	 adami 	 ad-ami
albigenský 	 albigen-sk-ý 	 albig-en-sk-ý
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
antala 	 antal-a 	 ant-a-l-a
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
atamanem 	 ataman-e-m 	 ataman-em
atlet 	 atlet 	 atl-e-t
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
bania 	 bani-a 	 bania
bankovek 	 bank-ovek 	 bank-ov-ek
bankovním 	 bank-ovn-ím 	 bank-ov-n-í-m
barikádovat 	 barik-ád-ova-t 	 barikád-ova-t
berehovsky 	 bereh-ov-sk-y 	 bereh-ovsk-y
bezesných 	 beze-sn-ých 	 bezes-n-ých
bolení 	 bol-e-n-í 	 bol-en-í
budova 	 bud-ova 	 bud-ov-a
bulletinu 	 bulletin-u 	 bullet-in-u
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 by-znys
běláskové 	 běl-ás-k-ové 	 běl-ás-k-ov-é
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celníky 	 cel-n-ík-y 	 cel-ník-y
celoživotní 	 cel-o-ži-v-ot-n-í 	 celož-i-v-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chcete 	 chc-e-te 	 chce-te
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 daktylo-skop-i-e
danost 	 d-a-n-ost 	 da-n-ost
dané 	 d-a-n-é 	 dan-é
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
dem 	 dem 	 d-em
denním 	 den-n-í-m 	 den-n-ím
devizové 	 deviz-ov-é 	 de-viz-ov-é
distanční 	 dis-tanč-n-í 	 distanč-n-í
dkp 	 d-k-p 	 dk-p
dlouhodobého 	 dlouh-o-dob-ého 	 dlouh-o-do-b-ého
dobrodiní 	 dobr-o-di-n-í 	 dobrod-in-í
dobytí 	 do-by-tí 	 do-by-t-í
docentů 	 docent-ů 	 do-cent-ů
dokonaleji 	 do-kon-a-l-eji 	 do-kon-a-l-ej-i
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
doplacení 	 do-plac-en-í 	 do-plac-e-n-í
dosvědčíme 	 do-s-věd-č-í-me 	 do-svěd-č-í-me
dozvíte 	 do-z-v-í-te 	 do-zví-te
dočtete 	 do-čt-e-te 	 do-č-t-e-te
druhém 	 druh-é-m 	 druh-ém
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dv-oj-násob-ek
dynamická 	 dynam-ic-k-á 	 dyn-am-ic-k-á
dózovat 	 dóz-ova-t 	 dó-z-ova-t
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
děti 	 dět-i 	 dě-ti
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
důkladněji 	 dů-klad-n-ěji 	 dů-klad-n-ěj-i
ekologické 	 eko-log-ick-é 	 eko-log-ic-k-é
ekologického 	 eko-log-ick-ého 	 eko-log-ic-k-ého
ekonomech 	 eko-nom-ech 	 eko-no-m-ech
ekonomickou 	 eko-nom-ick-ou 	 eko-nom-ic-k-ou
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
epocha 	 epoch-a 	 e-poch-a
expansion 	 expansion 	 ex-pans-ion
expedovat 	 exped-ova-t 	 ex-ped-ova-t
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finesami 	 fines-ami 	 fines-am-i
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
fyzický 	 fyz-ic-k-ý 	 fyzic-k-ý
gastronomie 	 gastr-o-nom-i-e 	 gastro-nom-i-e
generál 	 gener-ál 	 generál
gestikulovat 	 gestik-ul-ova-t 	 gest-ikul-ova-t
graessnerii 	 graessnerii 	 graessneri-i
haló 	 haló 	 hal-ó
hematologického 	 hemat-o-log-ick-ého 	 hemat-o-log-ic-k-ého
hergot 	 hergot 	 her-got
herní 	 her-n-í 	 her-ní
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hoch-schul-e
hodinou 	 hodin-ou 	 hodi-n-ou
hodnotím 	 hod-n-ot-í-m 	 hod-n-ot-ím
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horolezci 	 hor-o-lez-c-i 	 horo-lez-c-i
horálek 	 horálek 	 horál-ek
hra 	 hr-a 	 hra
hry 	 hr-y 	 hry
hrála 	 hrá-l-a 	 hrál-a
hudebníci 	 hud-eb-níc-i 	 hud-eb-n-íc-i
husími 	 hus-í-m-i 	 hus-ími
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
imunoenzymatický 	 imun-o-enzym-at-ick-ý 	 imun-o-enzym-at-ic-k-ý
indikátorem 	 in-dik-át-or-em 	 indikátor-em
individuální 	 in-divid-u-ál-n-í 	 in-divid-u-ál-ní
inovace 	 inov-ace 	 inov-ac-e
inspektor 	 in-spekt-or 	 in-spektor
instrumentovat 	 instrument-ova-t 	 instru-ment-ova-t
invalidní 	 in-valid-n-í 	 invalid-n-í
inzerátech 	 inzer-át-e-ch 	 inzer-át-ech
inženýrském 	 inženýr-sk-ém 	 inž-enýr-sk-ém
